"Station Group","Trip ID","Date","Station ID","Depth","Cond","pH","TSS_flg","TSS","TDS_flg","TDS","Ca_flg","Ca","Mg_flg","Mg","Na_flg","Na","K_flg","K","Cl_flg","Cl","SO4_flg","SO4","CO3_flg","CO3","HCO3_flg","HCO3","Alkalinity_flg","Alkalinity"
"LPCR0905","LP640425",4/25/1964 11:00:00,"SCUCLP14",0.00,1319.00,8.30,,,,938.00,,103.00,,42.65,,124.14,,5.86,,96.08,,415.48,,5.40,,162.30,,
"LPCR0453","LP640425",4/25/1964 12:30:00,"SCUCLP13",0.00,1328.00,8.30,,,,955.00,,105.40,,43.87,,125.98,,5.86,,93.24,,430.85,,4.50,,167.80,,
"LPCR0024","LP640425",4/25/1964 16:30:00,"SCUCLP12",0.00,1346.00,8.30,,,,963.00,,107.81,,42.89,,125.98,,5.86,,93.24,,430.85,,4.80,,169.63,,
"LPCR0024","LP641216",12/16/1964 12:00:00,"SCUCLP12",0.00,901.00,7.90,,,,612.00,,74.34,,24.18,,83.91,,4.30,,57.08,,275.22,,0.00,,129.36,,
"LPCR0024","LP641216",12/16/1964 12:00:00,"SCUCLP12",15.20,894.00,8.30,,,,612.00,,72.14,,25.52,,83.68,,4.30,,56.37,,255.53,,6.60,,141.56,,
"LPCR0024","LP641216",12/16/1964 12:00:00,"SCUCLP12",30.50,883.00,8.30,,,,602.00,,72.14,,24.18,,80.69,,4.30,,56.37,,244.00,,10.80,,133.02,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",3.00,1012.00,7.90,,,,726.00,,93.58,,25.76,,91.49,,4.69,,59.21,,312.69,,0.00,,165.36,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",45.70,1187.00,8.20,,,,839.00,,99.99,,33.17,,108.28,,5.08,,78.35,,346.31,,0.00,,191.59,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",30.50,1173.00,8.10,,,,828.00,,97.99,,34.39,,108.51,,5.08,,77.64,,367.44,,0.00,,166.58,,
"LPCR1692","LP650119",1/19/1965 14:30:00,"SCUCLP17",15.20,1020.00,8.00,,,,734.00,,90.37,,27.70,,90.81,,4.69,,60.62,,308.36,,0.00,,166.58,,
"LPCR2387","LP650119",1/20/1965 11:30:00,"SCUCLP18",15.20,1193.00,8.20,,,,827.00,,98.99,,32.44,,115.17,,5.08,,81.19,,336.70,,0.00,,210.51,,
"LPCR2387","LP650119",1/20/1965 11:30:00,"SCUCLP18",3.00,1178.00,8.20,,,,819.00,,94.78,,33.17,,111.96,,4.69,,76.93,,327.58,,0.00,,211.12,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",30.50,930.00,8.20,,,,644.00,,81.75,,25.27,,78.85,,4.30,,59.21,,259.37,,0.00,,160.47,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",3.00,920.00,8.10,,,,632.00,,83.96,,25.27,,81.61,,4.30,,51.76,,281.95,,0.00,,158.64,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",45.70,1238.00,8.30,,,,884.00,,101.19,,37.43,,113.34,,5.08,,83.31,,365.52,,13.20,,170.24,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",15.20,930.00,8.30,,,,634.00,,80.75,,27.22,,81.61,,4.30,,59.21,,274.26,,3.60,,148.27,,
"LPCR1169","LP650119",1/21/1965 10:30:00,"SCUCLP16",61.00,1238.00,8.20,,,,871.00,,102.19,,38.76,,113.79,,5.08,,87.92,,364.56,,0.00,,201.36,,
"LPSJR193","LP650119",1/21/1965 14:30:00,"SCUCLP15",30.50,944.00,8.10,,,,661.00,,102.19,,16.04,,85.75,,4.30,,45.38,,308.36,,0.00,,156.20,,
"LPSJR193","LP650119",1/21/1965 14:30:00,"SCUCLP15",3.00,942.00,8.10,,,,637.00,,86.16,,25.76,,83.68,,3.91,,51.05,,295.88,,0.00,,156.20,,
"LPSJR193","LP650119",1/21/1965 14:30:00,"SCUCLP15",15.20,944.00,8.10,,,,647.00,,84.96,,28.43,,83.91,,4.30,,51.76,,303.56,,0.00,,156.20,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",76.20,1195.00,7.90,,,,859.00,,101.19,,36.21,,114.02,,5.47,,82.60,,359.28,,0.00,,202.58,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",3.00,915.00,8.10,,,,625.00,,58.11,,39.61,,80.69,,3.91,,51.05,,277.14,,0.00,,156.20,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",15.20,915.00,8.20,,,,616.00,,79.55,,26.61,,81.61,,3.91,,50.34,,281.95,,0.00,,153.76,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",30.50,919.00,8.20,,,,640.00,,80.75,,30.38,,81.61,,3.91,,51.05,,297.32,,0.00,,155.59,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",45.70,924.00,8.20,,,,632.00,,79.55,,25.39,,82.99,,4.30,,49.63,,278.10,,0.00,,158.03,,
"LPCR0905","LP650119",1/21/1965 15:50:00,"SCUCLP14",61.00,1200.00,8.30,,,,839.00,,98.99,,33.78,,111.96,,5.08,,76.22,,353.51,,11.70,,172.07,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",76.20,1150.00,7.80,,,,821.00,,102.19,,33.66,,111.73,,5.08,,74.81,,367.44,,0.00,,189.15,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",91.40,1154.00,8.00,,,,827.00,,98.99,,35.60,,110.35,,5.08,,272.28,,97.02,,0.00,,189.15,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",3.00,968.00,7.90,,,,678.00,,83.96,,27.10,,91.95,,4.69,,59.21,,297.32,,0.00,,163.53,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",61.00,1150.00,7.80,,,,825.00,,96.78,,33.90,,110.12,,5.47,,71.61,,358.32,,0.00,,187.32,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",45.70,1233.00,7.90,,,,872.00,,106.60,,35.48,,120.46,,5.47,,80.48,,395.30,,0.00,,190.37,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",30.50,983.00,7.80,,,,692.00,,83.96,,29.04,,96.09,,4.69,,65.23,,305.96,,0.00,,162.91,,
"LPCR0453","LP650119",1/22/1965 10:30:00,"SCUCLP13",15.20,975.00,8.00,,,,666.00,,80.75,,27.82,,91.49,,4.69,,55.66,,295.88,,0.00,,164.14,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",45.70,1294.00,7.80,,,,933.00,,111.81,,38.52,,137.01,,6.64,,91.47,,445.25,,0.00,,184.88,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",3.00,1064.00,7.90,,,,742.00,,89.37,,28.92,,105.29,,5.08,,69.49,,327.58,,0.00,,169.02,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",30.50,1068.00,8.00,,,,736.00,,89.37,,28.31,,108.28,,5.08,,71.61,,328.54,,0.00,,169.02,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",76.20,1301.00,7.70,,,,918.00,,107.60,,39.25,,140.23,,6.25,,90.05,,442.37,,0.00,,189.76,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",61.00,1279.00,7.80,,,,899.00,,108.61,,36.09,,129.89,,5.86,,86.50,,411.63,,0.00,,194.03,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",91.40,1314.00,7.80,,,,925.00,,111.81,,37.30,,144.60,,6.64,,95.01,,449.58,,0.00,,183.05,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",105.20,1314.00,7.80,,,,930.00,,110.81,,37.91,,142.76,,7.03,,97.14,,445.25,,0.00,,184.88,,
"LPCR0024","LP650119",1/22/1965 12:40:00,"SCUCLP12",15.20,1061.00,7.70,,,,745.00,,84.96,,31.59,,106.21,,5.08,,70.91,,328.06,,0.00,,168.41,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",27.90,1076.00,7.90,,,,771.00,,105.40,,24.18,,104.83,,5.47,,73.74,,338.14,,0.00,,172.68,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",58.40,1255.00,7.80,,,,869.00,,103.40,,36.70,,119.54,,5.86,,83.31,,388.58,,0.00,,188.54,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",73.60,1255.00,7.80,,,,894.00,,107.60,,38.03,,127.82,,6.25,,78.35,,430.85,,0.00,,185.49,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",43.10,1255.00,7.70,,,,925.00,,111.81,,39.25,,126.90,,6.25,,89.34,,429.40,,0.00,,184.88,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",104.10,1314.00,7.70,,,,939.00,,114.02,,35.36,,145.06,,6.64,,96.43,,443.33,,0.00,,190.98,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",88.90,1319.00,7.70,,,,939.00,,111.81,,37.91,,143.68,,6.64,,96.43,,449.58,,0.00,,185.49,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",3.50,1083.00,7.80,,,,743.00,,92.58,,42.04,,103.91,,5.47,,71.61,,380.89,,0.00,,170.24,,
"LPCR0024","LP650203",2/3/1965 14:30:00,"SCUCLP12",12.70,1083.00,7.70,,,,743.00,,94.78,,25.64,,104.83,,5.47,,72.32,,325.18,,0.00,,166.58,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",12.70,1060.00,7.70,,,,719.00,,87.57,,27.95,,95.63,,4.69,,71.26,,300.20,,0.00,,164.14,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",58.40,1260.00,8.30,,,,872.00,,100.59,,28.92,,117.70,,5.47,,89.70,,345.35,,15.30,,148.27,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",99.50,1190.00,7.70,,,,834.00,,97.39,,26.37,,106.67,,4.69,,82.60,,302.60,,0.00,,192.81,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",0.50,1060.00,7.60,,,,722.00,,89.77,,24.67,,95.63,,4.69,,70.55,,292.03,,0.00,,165.97,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",43.20,1110.00,7.60,,,,779.00,,94.18,,25.15,,103.45,,5.47,,79.06,,307.40,,0.00,,169.63,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",88.90,1200.00,7.70,,,,833.00,,98.39,,26.49,,106.67,,4.69,,82.60,,305.96,,0.00,,192.20,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",73.60,1210.00,8.10,,,,840.00,,102.80,,30.74,,111.27,,5.47,,84.02,,346.79,,0.00,,186.10,,
"LPCR0024","LP650303",3/3/1965 13:00:00,"SCUCLP12",27.90,1060.00,7.80,,,,728.00,,90.97,,24.54,,96.55,,4.69,,73.39,,292.51,,0.00,,165.97,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",58.50,1160.00,7.90,,,,834.00,,97.39,,35.48,,108.51,,5.47,,81.19,,350.63,,0.00,,186.10,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",101.20,1140.00,8.00,,,,822.00,,99.59,,33.29,,107.59,,5.47,,80.48,,341.99,,0.00,,191.59,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",73.70,1170.00,7.80,,,,824.00,,97.39,,35.85,,108.51,,5.47,,81.19,,346.79,,0.00,,192.81,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",28.00,1200.00,7.60,,,,858.00,,100.99,,35.36,,112.19,,5.86,,84.02,,360.24,,0.00,,189.76,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",12.80,1070.00,7.50,,,,748.00,,88.77,,30.62,,99.31,,5.47,,71.26,,318.93,,0.00,,168.41,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",3.60,1050.00,7.70,,,,739.00,,87.97,,30.26,,97.47,,5.08,,70.55,,311.25,,0.00,,169.63,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",43.20,1180.00,7.60,,,,838.00,,98.79,,35.48,,110.35,,5.47,,84.73,,348.23,,0.00,,192.20,,
"LPCR0024","LP650331",3/31/1965 10:00:00,"SCUCLP12",89.00,1150.00,7.80,,,,824.00,,98.19,,33.78,,108.51,,5.08,,79.77,,342.47,,0.00,,192.20,,
"LPSJR193","LP650519",5/19/1965 13:45:00,"SCUCLP15",28.00,936.00,7.40,,,,706.00,,79.75,,30.01,,84.14,,3.91,,43.61,,300.20,,0.00,,166.58,,
"LPSJR193","LP650519",5/19/1965 13:45:00,"SCUCLP15",12.80,491.00,7.70,,,,319.00,,50.89,,13.85,,30.57,,1.95,,9.93,,138.33,,0.00,,115.93,,
"LPSJR193","LP650519",5/19/1965 13:45:00,"SCUCLP15",43.30,936.00,8.30,,,,690.00,,88.37,,30.62,,76.32,,3.51,,25.17,,336.70,,12.60,,134.24,,
"LPSJR193","LP650519",5/19/1965 13:45:00,"SCUCLP15",3.00,528.00,7.10,,,,355.00,,54.30,,14.58,,37.01,,2.34,,9.57,,159.47,,0.00,,121.42,,
"LPCR0905","LP650519",5/19/1965 15:00:00,"SCUCLP14",12.80,768.00,8.30,,,,520.00,,60.71,,22.84,,68.96,,3.51,,43.61,,205.10,,4.80,,142.78,,
"LPCR0905","LP650519",5/19/1965 15:00:00,"SCUCLP14",3.00,777.00,8.40,,,,525.00,,63.32,,23.33,,70.80,,3.51,,43.61,,217.58,,7.50,,136.68,,
"LPCR0905","LP650519",5/19/1965 15:00:00,"SCUCLP14",73.80,1190.00,7.90,,,,791.00,,86.16,,36.33,,109.20,,4.69,,81.19,,323.25,,0.00,,191.59,,
"LPCR0905","LP650519",5/19/1965 15:00:00,"SCUCLP14",28.00,990.00,8.50,,,,673.00,,76.34,,28.80,,94.71,,4.30,,62.40,,280.51,,10.80,,149.49,,
"LPCR0905","LP650519",5/19/1965 15:00:00,"SCUCLP14",43.30,1070.00,8.40,,,,733.00,,84.76,,30.86,,104.37,,4.69,,70.20,,311.25,,8.10,,164.75,,
"LPCR0905","LP650519",5/19/1965 15:00:00,"SCUCLP14",58.50,1190.00,8.30,,,,781.00,,91.37,,32.69,,109.20,,4.69,,81.19,,322.29,,12.00,,165.97,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",58.90,1070.00,8.40,,,,738.00,,87.77,,32.32,,100.00,,4.69,,70.20,,317.97,,15.00,,147.05,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",28.40,1010.00,8.40,,,,703.00,,83.36,,30.38,,94.02,,4.30,,61.69,,305.48,,13.20,,141.56,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",3.40,1010.00,8.40,,,,704.00,,83.36,,29.53,,91.49,,4.30,,59.56,,302.12,,9.00,,147.05,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",89.40,1130.00,8.30,,,,782.00,,91.37,,33.54,,105.75,,4.69,,79.06,,327.10,,9.30,,164.14,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",74.10,1090.00,8.30,,,,758.00,,89.77,,32.81,,102.99,,4.69,,75.51,,319.89,,26.40,,128.75,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",100.00,1100.00,8.30,,,,782.00,,91.97,,37.79,,106.21,,4.69,,77.64,,344.39,,22.80,,141.56,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",43.70,1050.00,8.50,,,,712.00,,84.16,,30.74,,96.55,,4.30,,65.23,,308.36,,18.00,,133.02,,
"LPCR0024","LP650519",5/25/1965 14:00:00,"SCUCLP12",13.20,1010.00,8.20,,,,691.00,,81.15,,30.86,,91.95,,4.30,,58.14,,295.88,,0.00,,176.95,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",28.40,993.00,8.30,,,,701.00,,83.36,,27.82,,95.86,,4.69,,63.81,,294.92,,20.70,,128.75,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",43.70,1060.00,8.30,,,,744.00,,84.76,,34.99,,102.99,,4.69,,71.61,,323.73,,12.60,,154.37,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",58.90,1090.00,8.30,,,,773.00,,89.17,,36.94,,104.60,,4.69,,76.22,,338.62,,9.90,,160.47,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",74.10,1100.00,8.40,,,,774.00,,87.77,,34.87,,109.43,,4.69,,79.77,,328.54,,16.50,,151.93,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",13.20,952.00,7.60,,,,660.00,,77.55,,26.73,,89.66,,4.30,,60.27,,269.94,,0.00,,172.68,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",89.40,1120.00,7.60,,,,767.00,,91.97,,33.66,,108.97,,4.69,,79.77,,329.98,,0.00,,189.15,,
"LPCR0453","LP650519",5/25/1965 16:30:00,"SCUCLP13",3.40,965.00,8.30,,,,683.00,,85.56,,25.64,,92.41,,4.30,,60.27,,291.07,,15.90,,135.46,,
"LPCR1169","LP650519",5/26/1965 8:00:00,"SCUCLP16",3.40,706.00,7.90,,,,478.00,,57.71,,19.56,,57.47,,3.51,,35.45,,177.72,,0.00,,145.22,,
"LPCR1169","LP650519",5/26/1965 8:00:00,"SCUCLP16",43.70,815.00,8.40,,,,562.00,,68.33,,22.60,,73.79,,4.30,,47.15,,225.27,,8.10,,140.34,,
"LPCR1169","LP650519",5/26/1965 8:00:00,"SCUCLP16",13.20,640.00,8.30,,,,437.00,,55.10,,17.86,,53.33,,3.51,,31.91,,164.27,,4.80,,131.19,,
"LPCR1169","LP650519",5/26/1965 8:00:00,"SCUCLP16",57.40,1010.00,8.20,,,,712.00,,79.75,,31.71,,95.86,,4.69,,67.36,,292.99,,0.00,,175.73,,
"LPCR1169","LP650519",5/26/1965 8:00:00,"SCUCLP16",28.40,693.00,8.40,,,,476.00,,57.31,,20.29,,59.77,,3.51,,36.16,,184.44,,5.70,,132.41,,
"LPCR1692","LP650519",5/26/1965 9:00:00,"SCUCLP17",13.20,591.00,7.80,,,,405.00,,50.09,,16.16,,48.96,,2.34,,26.23,,152.26,,0.00,,128.75,,
"LPCR1692","LP650519",5/26/1965 9:00:00,"SCUCLP17",43.10,537.00,7.30,,,,367.00,,47.89,,15.67,,41.61,,2.73,,25.17,,127.28,,0.00,,134.24,,
"LPCR1692","LP650519",5/26/1965 9:00:00,"SCUCLP17",28.40,576.00,7.90,,,,397.00,,49.49,,16.52,,46.66,,2.73,,27.30,,149.38,,0.00,,125.08,,
"LPCR1692","LP650519",5/26/1965 9:00:00,"SCUCLP17",3.40,591.00,8.30,,,,413.00,,49.49,,16.77,,50.11,,2.73,,27.65,,155.14,,2.40,,122.64,,
"LPCR2387","LP650519",5/26/1965 13:30:00,"SCUCLP18",13.20,437.00,8.30,,,,296.00,,46.09,,13.73,,28.04,,2.34,,16.31,,93.18,,4.20,,132.41,,
"LPCR2387","LP650519",5/26/1965 13:30:00,"SCUCLP18",3.40,447.00,8.00,,,,298.00,,48.29,,12.15,,27.58,,2.34,,14.89,,85.02,,0.00,,151.32,,
"LPCR2387","LP650714",7/14/1965 15:20:00,"SCUCLP18",0.90,466.00,7.30,,,,306.00,,43.08,,14.58,,32.64,,1.17,,21.98,,115.28,,0.00,,108.61,,
"LPCR2387","LP650714",7/14/1965 15:20:00,"SCUCLP18",7.00,479.00,7.20,,,,317.00,,46.49,,15.06,,33.79,,1.56,,22.69,,121.04,,0.00,,116.54,,
"LPCR1692","LP650714",7/15/1965 7:30:00,"SCUCLP17",37.70,410.00,7.10,,,,271.00,,39.67,,12.88,,27.35,,1.17,,14.18,,103.27,,0.00,,104.34,,
"LPCR1692","LP650714",7/15/1965 7:30:00,"SCUCLP17",1.20,427.00,7.20,,,,284.00,,39.67,,15.67,,28.50,,1.17,,15.60,,113.84,,0.00,,105.56,,
"LPCR1692","LP650714",7/15/1965 7:30:00,"SCUCLP17",22.50,427.00,7.10,,,,273.00,,40.07,,13.12,,28.50,,1.17,,16.66,,101.35,,0.00,,108.00,,
"LPCR1692","LP650714",7/15/1965 7:30:00,"SCUCLP17",7.30,436.00,7.20,,,,277.00,,39.27,,14.09,,29.19,,1.17,,17.37,,103.75,,0.00,,108.00,,
"LPCR1692","LP650714",7/15/1965 7:30:00,"SCUCLP17",53.00,425.00,7.20,,,,277.00,,40.47,,12.88,,28.04,,1.56,,14.54,,102.31,,0.00,,109.83,,
"LPCR1169","LP650714",7/15/1965 9:30:00,"SCUCLP16",22.50,401.00,7.30,,,,269.00,,40.07,,12.15,,26.20,,1.17,,14.54,,95.58,,0.00,,108.00,,
"LPCR1169","LP650714",7/15/1965 9:30:00,"SCUCLP16",62.10,585.00,7.70,,,,388.00,,45.28,,18.22,,50.57,,2.34,,29.07,,168.11,,0.00,,103.73,,
"LPCR1169","LP650714",7/15/1965 9:30:00,"SCUCLP16",53.00,603.00,7.30,,,,414.00,,55.30,,18.22,,47.58,,2.34,,26.94,,158.50,,0.00,,142.17,,
"LPCR1169","LP650714",7/15/1965 9:30:00,"SCUCLP16",37.70,525.00,7.40,,,,344.00,,48.69,,15.19,,36.55,,1.56,,20.92,,128.24,,0.00,,125.08,,
"LPCR1169","LP650714",7/15/1965 9:30:00,"SCUCLP16",7.30,466.00,7.20,,,,311.00,,46.09,,13.00,,32.18,,1.95,,17.37,,115.76,,0.00,,117.15,,
"LPSJR193","LP650714",7/15/1965 13:15:00,"SCUCLP15",37.70,461.00,7.30,,,,304.00,,46.09,,13.73,,29.42,,1.56,,9.57,,128.24,,0.00,,110.44,,
"LPSJR193","LP650714",7/15/1965 13:15:00,"SCUCLP15",22.50,444.00,7.30,,,,291.00,,43.08,,15.06,,28.50,,1.17,,12.76,,120.56,,0.00,,109.22,,
"LPSJR193","LP650714",7/15/1965 13:15:00,"SCUCLP15",7.30,309.00,7.10,,,,205.00,,39.67,,4.49,,16.32,,0.78,,5.67,,74.45,,0.00,,83.59,,
"LPSJR193","LP650714",7/15/1965 13:15:00,"SCUCLP15",53.00,488.00,7.20,,,,331.00,,50.49,,13.36,,31.72,,1.56,,11.34,,134.97,,0.00,,116.54,,
"LPCR0905","LP650714",7/15/1965 14:45:00,"SCUCLP14",53.00,614.00,7.70,,,,418.00,,52.70,,18.83,,49.42,,2.34,,30.13,,157.54,,0.00,,137.90,,
"LPCR0905","LP650714",7/15/1965 14:45:00,"SCUCLP14",22.50,402.00,7.30,,,,262.00,,40.88,,10.33,,26.66,,1.95,,12.76,,96.54,,0.00,,105.56,,
"LPCR0905","LP650714",7/15/1965 14:45:00,"SCUCLP14",37.70,434.00,7.20,,,,295.00,,41.48,,12.03,,31.26,,1.95,,15.95,,104.23,,0.00,,112.88,,
"LPCR0905","LP650714",7/15/1965 14:45:00,"SCUCLP14",83.50,924.00,7.20,,,,652.00,,74.94,,28.31,,85.52,,3.51,,53.53,,268.02,,0.00,,170.24,,
"LPCR0905","LP650714",7/15/1965 14:45:00,"SCUCLP14",68.20,811.00,7.50,,,,561.00,,67.33,,25.15,,74.02,,3.51,,45.73,,235.36,,0.00,,155.59,,
"LPCR0905","LP650714",7/15/1965 14:45:00,"SCUCLP14",7.30,390.00,7.50,,,,255.00,,39.67,,10.08,,24.13,,1.95,,10.28,,93.18,,0.00,,102.51,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",99.80,1090.00,7.40,,,,774.00,,88.37,,30.50,,107.59,,4.69,,75.51,,313.17,,0.00,,187.32,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",23.60,485.00,7.30,,,,311.00,,44.08,,14.70,,34.02,,1.95,,19.85,,114.32,,0.00,,122.03,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",0.80,618.00,7.40,,,,414.00,,53.90,,17.37,,49.88,,2.73,,29.07,,157.06,,0.00,,138.51,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",110.50,1120.00,7.30,,,,775.00,,89.57,,30.38,,105.75,,4.69,,76.93,,308.84,,0.00,,188.54,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",84.60,1020.00,7.30,,,,704.00,,85.16,,28.55,,97.70,,4.69,,68.07,,295.40,,0.00,,176.95,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",69.30,928.00,7.60,,,,627.00,,72.34,,25.64,,82.76,,4.30,,56.02,,249.77,,0.00,,161.69,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",54.10,753.00,7.40,,,,509.00,,62.12,,20.78,,63.91,,3.51,,41.13,,197.41,,0.00,,147.05,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",38.90,636.00,7.20,,,,428.00,,55.30,,17.98,,51.03,,2.73,,31.91,,161.39,,0.00,,138.51,,
"LPCR0024","LP650714",7/22/1965 10:30:00,"SCUCLP12",8.40,523.00,7.40,,,,340.00,,48.69,,14.46,,38.39,,2.34,,21.98,,125.36,,0.00,,129.36,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",0.80,548.00,7.40,,,,365.00,,48.29,,15.92,,41.61,,2.73,,24.46,,134.01,,0.00,,129.36,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",99.80,1110.00,7.50,,,,768.00,,86.16,,33.05,,109.43,,4.30,,74.10,,319.41,,0.00,,192.20,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",84.60,1020.00,7.40,,,,708.00,,87.37,,24.79,,97.24,,4.30,,65.94,,286.75,,0.00,,177.56,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",69.30,856.00,7.40,,,,585.00,,67.73,,24.91,,76.55,,3.91,,48.92,,233.91,,0.00,,159.25,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",38.90,498.00,7.30,,,,330.00,,45.68,,13.97,,35.86,,1.95,,20.56,,115.76,,0.00,,125.08,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",8.40,431.00,7.50,,,,291.00,,41.88,,12.03,,29.88,,1.95,,15.60,,102.79,,0.00,,112.88,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",23.60,462.00,7.40,,,,300.00,,42.68,,13.00,,32.64,,1.95,,15.95,,109.03,,0.00,,118.98,,
"LPCR0453","LP650714",7/22/1965 14:15:00,"SCUCLP13",54.10,624.00,7.30,,,,522.00,,52.70,,19.07,,52.87,,3.12,,30.84,,167.15,,0.00,,136.07,,
"LPCR0024","LP650811",8/11/1965 12:00:00,"SCUCLP12",86.50,1020.00,8.30,,,,708.00,,81.96,,31.84,,96.78,,4.30,,65.94,,293.47,,7.80,,170.85,,
"LPCR0024","LP650811",8/11/1965 12:00:00,"SCUCLP12",25.50,475.00,7.90,,,,303.00,,44.48,,14.21,,33.79,,1.95,,17.37,,119.12,,0.00,,118.37,,
"LPCR0024","LP650811",8/11/1965 12:00:00,"SCUCLP12",40.80,638.00,7.90,,,,410.00,,55.70,,17.74,,51.26,,3.12,,30.49,,167.15,,0.00,,134.85,,
