"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"050433",0.01,,4.0e-03,,0.03,"<",0.48,,0.27,,,
"050434",0.26,,7.0e-03,,0.49,,0.25,,0.67,,,
"050435",5.0e-03,,3.0e-03,,0.02,,0.37,,0.39,,,
"050680",0.01,,2.0e-03,"<",0.02,"<",0.45,,0.05,"<",,
"050681",0.01,,2.0e-03,"<",0.02,"<",0.42,,0.05,"<",,
"050682",9.0e-03,,2.0e-03,"<",0.02,"<",0.38,,0.19,,,
"050683",9.0e-03,,2.0e-03,"<",0.02,"<",0.51,,0.16,,,
"050684",0.01,,2.0e-03,"<",0.02,"<",0.56,,0.26,,,
"050939",0.01,,3.0e-03,,0.02,"<",0.45,,0.28,,,
"050940",0.01,,4.0e-03,,0.02,"<",0.49,,0.27,,,
"050941",0.01,,3.0e-03,,0.02,"<",0.47,,0.26,,,
"050942",9.0e-03,,3.0e-03,,0.02,"<",0.71,,0.24,,,
"050943",0.01,,3.0e-03,,0.02,"<",0.58,,0.26,,,
"050944",0.01,,5.0e-03,,0.02,"<",0.68,,0.25,,,
"051253",0.01,,2.0e-03,"<",0.02,,0.33,,0.24,,,
"051254",0.01,,1.0e-03,,0.02,,0.35,,0.23,,,
"051255",8.0e-03,,1.0e-03,"<",9.0e-03,,0.31,,0.33,,,
"051256",8.0e-03,,1.0e-03,"<",5.0e-03,,0.24,,0.23,,,
"051257",0.01,,1.0e-03,"<",3.0e-03,"<",0.35,,0.19,,,
"051258",0.01,,1.0e-03,,3.0e-03,"<",0.39,,0.31,,,
"051259",0.01,,2.0e-03,,0.02,,0.12,,0.17,,,
"051260",0.01,,2.0e-03,,3.0e-03,"<",0.42,,0.25,,,
"051261",0.01,,4.0e-03,,3.0e-03,"<",0.16,,0.36,,,
"051264",0.01,,1.0e-03,"<",3.0e-03,"<",0.24,,0.33,,,
"051265",0.01,,1.0e-03,"<",3.0e-03,"<",0.33,,0.24,,,
"051266",7.0e-03,,1.0e-03,"<",3.0e-03,"<",0.42,,0.26,,,
"051267",0.01,,1.0e-03,"<",0.05,,0.23,,0.34,,,
"051268",0.01,,1.0e-03,"<",3.0e-03,"<",0.53,,0.12,,,
"051269",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.69,,0.11,,,
"051270",6.0e-03,,1.0e-03,"<",0.05,,0.13,,0.18,,,
"051271",0.01,,1.0e-03,"<",0.14,,0.10,,0.18,,,
"051272",0.16,,2.0e-03,,0.19,,0.12,,0.30,,,
"051273",0.15,,2.0e-03,,0.16,,0.15,,0.46,,,
"051274",9.0e-03,,1.0e-03,,0.01,,0.26,,0.34,,,
