"Lab.Nut","TP","TP_flg","SRP","SRP_flg","NH3-N","NH3-N_flg","NO23-N","NO23-N_flg","TKN","TKN_flg","TN","TN_flg"
"062896",0.10,,3.0e-03,,0.09,,0.29,,,,0.68,
"062899",0.04,,1.0e-03,"<",8.0e-03,,0.40,,,,0.88,
"062900",0.02,,1.0e-03,,5.0e-03,,0.48,,,,1.16,
"062901",3.0e-03,,1.0e-03,"<",3.0e-03,"<",3.0e-03,"<",,,0.00,
"062905",0.01,,1.0e-03,"<",3.0e-03,"<",0.47,,,,8.0e-03,
"062906",0.01,,1.0e-03,,3.0e-03,"<",0.42,,,,9.0e-03,
"062907",0.03,,1.0e-03,,0.01,,0.11,,,,8.0e-03,
"062908",4.0e-03,,1.0e-03,"<",3.0e-03,"<",0.11,,,,0.36,
"062909",5.0e-03,,1.0e-03,"<",0.02,,0.30,,,,0.91,
"062910",0.01,,0.01,,0.01,,0.49,,,,1.27,
"062911",4.0e-03,,7.0e-03,,3.0e-03,"<",0.11,,,,0.00,
"062912",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",3.0e-03,"<",,,2.0e-03,
"062913",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",3.0e-03,"<",,,2.0e-03,
"062914",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.27,,,,0.79,
"062915",3.0e-03,"<",1.0e-03,"<",0.02,,0.40,,,,1.05,
"062916",3.0e-03,"<",1.0e-03,"<",3.0e-03,"<",0.42,,,,1.05,
"062917",3.0e-03,"<",1.0e-03,,3.0e-03,"<",0.27,,,,0.83,
"062918",0.01,,7.0e-03,,0.04,,0.44,,,,1.06,
"062921",3.0e-03,"<",1.0e-03,,4.0e-03,,0.33,,,,0.39,
"062922",3.0e-03,"<",1.0e-03,,3.0e-03,"<",0.32,,,,0.42,
"062923",0.01,,1.0e-03,,0.01,,0.11,,,,0.26,
"062924",5.0e-03,,1.0e-03,,4.0e-03,,0.24,,,,0.41,
"062925",0.03,,1.0e-03,,7.0e-03,,0.39,,,,0.39,
"062926",0.01,,0.01,,0.01,,0.53,,,,0.54,
"063194",7.0e-03,,2.0e-03,,0.01,,0.26,,,,0.56,
"063195",6.0e-03,,1.0e-03,,3.0e-03,,0.41,,,,0.71,
"063196",9.0e-03,,5.0e-03,,5.0e-03,,0.53,,,,0.74,
"063197",5.0e-03,,1.0e-03,"<",8.0e-03,,0.34,,,,0.58,
"063198",4.0e-03,,1.0e-03,"<",0.01,,0.39,,,,0.87,
"063305",0.01,,2.0e-03,,4.0e-03,,0.33,,,,0.48,
"063306",0.01,,2.0e-03,,3.0e-03,"<",0.33,,,,0.41,
"063307",7.0e-03,,3.0e-03,,3.0e-03,"<",0.49,,,,0.56,
"063308",0.01,,8.0e-03,,3.0e-03,"<",0.55,,,,0.62,
"063309",0.01,,2.0e-03,,3.0e-03,"<",0.37,,,,0.44,
"063310",0.02,,6.0e-03,,3.0e-03,"<",0.47,,,,0.53,
"063311",0.01,,7.0e-03,,3.0e-03,"<",0.52,,,,0.53,
"063312",0.01,,7.0e-03,,3.0e-03,"<",0.41,,,,0.50,
"063313",0.01,,9.0e-03,,3.0e-03,"<",0.40,,,,0.56,
"063314",0.01,,5.0e-03,,3.0e-03,"<",0.43,,,,0.50,
"063315",0.03,,0.01,,3.0e-03,"<",0.51,,,,0.66,
"063316",0.01,,0.01,,3.0e-03,"<",0.47,,,,0.68,
"063319",0.01,,4.0e-03,,4.0e-03,,0.36,,,,0.51,
"063320",0.01,,1.0e-03,,3.0e-03,"<",0.34,,,,0.45,
"063321",0.01,,6.0e-03,,0.01,,0.39,,,,0.45,
"063322",7.0e-03,,5.0e-03,,3.0e-03,"<",0.50,,,,0.61,
"063323",0.01,,0.01,,3.0e-03,"<",0.43,,,,0.55,
"063327",8.0e-03,,3.0e-03,,4.0e-03,,0.46,,,,0.55,
"063328",0.01,,6.0e-03,,0.01,,0.40,,,,0.47,
"063329",0.02,,0.01,,3.0e-03,"<",0.54,,,,0.56,
"063330",8.0e-03,,6.0e-03,,0.01,,0.42,,,,0.54,
"063331",0.01,,4.0e-03,,0.01,,0.40,,,,0.42,
"063334",5.0e-03,,4.0e-03,,0.01,,0.50,,,,0.51,
"063335",0.01,,4.0e-03,,0.01,,0.37,,,,0.44,
"063336",0.03,,5.0e-03,,0.05,,0.37,,,,0.44,
"063337",0.01,,3.0e-03,,3.0e-03,"<",0.37,,,,0.40,
"063338",0.03,,3.0e-03,,5.0e-03,,0.34,,,,0.36,
"063339",9.0e-03,,7.0e-03,,8.0e-03,,0.56,,,,0.60,
"063340",0.03,,5.0e-03,,0.06,,0.12,,,,0.15,
"063341",0.01,,2.0e-03,,6.0e-03,,0.33,,,,0.38,
"063342",0.01,,2.0e-03,,7.0e-03,,0.32,,,,0.45,
"070169",0.02,,4.0e-03,,0.01,,0.30,,,,0.45,
"070170",0.01,,4.0e-03,,8.0e-03,,0.33,,,,0.49,
"070171",0.01,,3.0e-03,,0.01,,0.33,,,,0.46,
"070172",0.01,,5.0e-03,,0.02,,0.32,,,,0.48,
"070173",0.01,,4.0e-03,,0.02,,0.33,,,,0.46,
"070174",0.01,,0.01,,0.02,,0.45,,,,0.64,
"070355",0.01,,7.0e-03,,0.01,,0.38,,,,0.50,
"070356",0.01,,6.0e-03,,0.01,,0.32,,,,0.44,
"070357",6.0e-03,,7.0e-03,,0.01,,0.34,,,,0.49,
"070358",0.01,,0.01,,0.01,,0.46,,,,0.54,
"070359",0.07,,6.0e-03,,0.01,,0.35,,,,0.47,
"070363",0.02,,6.0e-03,,0.01,,0.39,,,,0.57,
"070364",0.01,,8.0e-03,,6.0e-03,,0.42,,,,0.63,
"070365",0.01,,6.0e-03,,9.0e-03,,0.33,,,,0.49,
"070366",0.01,,5.0e-03,,7.0e-03,,0.36,,,,0.56,
"070367",0.01,,0.01,,3.0e-03,,0.48,,,,0.66,
"070368",0.01,,0.01,,7.0e-03,,0.37,,,,0.59,
"070369",0.02,,4.0e-03,,3.0e-03,"<",0.32,,,,0.53,
"070370",0.05,,0.01,,3.0e-03,"<",0.44,,,,0.60,
"070371",0.02,,9.0e-03,,0.01,,0.39,,,,0.59,
"070372",9.0e-03,,5.0e-03,,3.0e-03,"<",0.34,,,,0.56,
"070373",0.02,,0.01,,0.02,,0.40,,,,0.64,
"070374",6.0e-03,,6.0e-03,,6.0e-03,,0.35,,,,0.57,
"070375",0.04,,0.01,,9.0e-03,,0.39,,,,0.61,
"070376",0.02,,4.0e-03,,3.0e-03,,0.34,,,,0.58,
"070377",0.01,,0.01,,0.02,,0.41,,,,0.64,
"070378",0.12,,0.03,,0.01,,0.38,,,,0.75,
"070379",0.02,,5.0e-03,,7.0e-03,,0.33,,,,0.51,
"070380",0.02,,0.01,,0.02,,0.38,,,,0.63,
"070383",0.11,,0.02,,0.04,,0.37,,,,0.58,
"070384",0.02,,9.0e-03,,0.04,,0.40,,,,0.63,
"070385",0.06,,6.0e-03,,9.0e-03,,0.41,,,,0.69,
"070386",0.03,,0.01,,0.02,,0.34,,,,0.61,
"070389",0.06,,8.0e-03,,0.02,,0.25,,,,0.50,
"070390",0.08,,9.0e-03,,0.01,,0.27,,,,0.57,
"070391",0.07,,0.01,,0.03,,0.28,,,,0.53,
"070392",0.46,,0.01,,0.03,,0.30,,,,0.84,
"070393",0.05,,0.01,,0.01,,0.26,,,,0.48,
"070394",0.05,,7.0e-03,,3.0e-03,"<",0.38,,,,0.75,
"070395",0.05,,6.0e-03,,0.10,,0.30,,,,0.68,
"070397",0.11,,0.03,,0.12,,0.05,,,,0.45,
"070755",0.01,,5.0e-03,,0.01,,0.37,,,,0.56,
"070756",0.01,,4.0e-03,,5.0e-03,,0.23,,,,0.47,
"070757",0.01,,5.0e-03,,7.0e-03,,0.44,,,,0.60,
"070758",0.18,,8.0e-03,,9.0e-03,,0.42,,,,0.58,
"070759",0.01,,5.0e-03,,0.01,,0.38,,,,0.57,
"071175",9.0e-03,,5.0e-03,,3.0e-03,"<",0.44,,,,0.43,
"071176",8.0e-03,,6.0e-03,,3.0e-03,"<",0.39,,,,0.42,
"071177",0.01,,4.0e-03,,3.0e-03,"<",0.23,,,,0.31,
"071178",0.01,,5.0e-03,,3.0e-03,"<",0.39,,,,0.41,
"071179",0.01,,0.01,,3.0e-03,"<",0.42,,,,0.44,
"071180",0.01,,4.0e-03,,3.0e-03,"<",0.22,,,,0.28,
"071181",0.01,,0.01,,0.15,,0.42,,,,0.59,
"071182",0.01,,4.0e-03,,4.0e-03,,0.19,,,,0.31,
"071183",0.01,,0.01,,0.03,,0.40,,,,0.47,
"071186",0.01,,3.0e-03,,3.0e-03,"<",0.11,,,,0.21,
"071187",0.01,,0.01,,3.0e-03,"<",0.40,,,,0.46,
"071188",0.01,,5.0e-03,,0.01,,0.15,,,,0.22,
"071189",0.03,,0.01,,0.05,,0.20,,,,0.27,
"071190",0.01,,9.0e-03,,3.0e-03,"<",0.40,,,,0.41,
"071191",0.08,,0.02,,7.0e-03,,0.20,,,,0.25,
"071192",0.01,,5.0e-03,,3.0e-03,"<",0.19,,,,0.32,
"071193",0.01,,0.01,,3.0e-03,"<",0.44,,,,0.46,
"071194",0.01,,5.0e-03,,0.01,,0.22,,,,0.35,
"071195",0.01,,6.0e-03,,0.02,,0.36,,,,0.41,
"071196",0.01,,0.01,,6.0e-03,,0.47,,,,0.47,
"071197",0.25,,0.01,,0.01,,0.25,,,,0.52,
"071198",0.06,,6.0e-03,,0.01,,0.17,,,,0.43,
"071199",0.06,,0.01,,0.05,,0.25,,,,0.40,
"071200",0.01,,8.0e-03,,8.0e-03,,0.31,,,,0.37,
"071201",0.02,,0.01,,5.0e-03,,0.34,,,,0.38,
"071202",0.02,,0.01,,4.0e-03,,0.44,,,,0.47,
"071208",0.01,,7.0e-03,,3.0e-03,"<",0.07,,,,0.11,
"071209",0.16,,4.0e-03,,3.0e-03,"<",0.20,,,,0.28,
"071210",2.0e-03,"<",3.0e-03,,0.03,,0.26,,,,0.35,
"071211",4.0e-03,,6.0e-03,,0.03,,0.43,,,,0.47,
"071460",6.0e-03,,4.0e-03,,3.0e-03,"<",0.40,,,,0.42,
"071461",6.0e-03,,4.0e-03,,9.0e-03,,0.09,,,,0.27,
"071462",6.0e-03,,4.0e-03,,3.0e-03,"<",0.42,,,,0.42,
"071463",0.01,,0.01,,6.0e-03,,0.44,,,,0.51,
"071464",7.0e-03,,4.0e-03,,5.0e-03,,0.39,,,,0.50,
"072135",7.0e-03,,8.0e-03,,3.0e-03,"<",0.42,,,,0.48,
"072136",9.0e-03,,8.0e-03,,5.0e-03,,0.41,,,,0.44,
"072137",0.01,,5.0e-03,,0.01,,0.20,,,,0.27,
"072138",9.0e-03,,9.0e-03,,3.0e-03,"<",0.47,,,,0.54,
"072139",0.01,,0.01,,0.01,,0.50,,,,0.52,
"072140",9.0e-03,,7.0e-03,,0.01,,0.20,,,,0.24,
"072141",9.0e-03,,6.0e-03,,4.0e-03,,0.45,,,,0.45,
"072142",0.01,,0.01,,6.0e-03,,0.57,,,,0.58,
"072511",0.01,,1.0e-03,,3.0e-03,,0.28,,,,0.46,
"072512",8.0e-03,,1.0e-03,,3.0e-03,"<",0.29,,,,0.46,
"072513",0.01,,1.0e-03,,6.0e-03,,0.19,,,,0.37,
"072514",7.0e-03,,1.0e-03,,3.0e-03,"<",0.35,,,,0.51,
"072515",6.0e-03,,1.0e-03,,0.01,,0.42,,,,0.60,
"072516",4.0e-03,,1.0e-03,,6.0e-03,,0.29,,,,0.46,
"072517",0.01,,1.0e-03,,3.0e-03,"<",0.44,,,,0.61,
"072518",0.04,,1.0e-03,,3.0e-03,"<",0.27,,,,0.48,
"072519",0.02,,1.0e-03,,3.0e-03,"<",0.46,,,,0.63,
"072522",0.24,,1.0e-03,,0.04,,0.76,,,,0.83,
"072523",3.0e-03,,1.0e-03,,5.0e-03,,0.21,,,,0.39,
"072524",9.0e-03,,1.0e-03,,0.03,,0.46,,,,0.67,
"072525",0.01,,1.0e-03,,3.0e-03,"<",0.31,,,,0.48,
"072526",9.0e-03,,1.0e-03,,5.0e-03,,0.44,,,,0.61,
"072530",0.01,,1.0e-03,,4.0e-03,,0.28,,,,0.46,
"072531",0.01,,1.0e-03,,0.02,,0.55,,,,0.55,
"072532",6.0e-03,,1.0e-03,,0.01,,0.29,,,,0.47,
"072533",0.03,,1.0e-03,,0.02,,0.41,,,,0.59,
"072534",0.18,,1.0e-03,,0.02,,0.76,,,,0.73,
"072535",7.0e-03,,1.0e-03,,4.0e-03,,0.30,,,,0.50,
"072536",0.02,,1.0e-03,,0.05,,0.44,,,,0.68,
"080437",6.0e-03,"<",1.0e-03,,6.0e-03,,0.38,,,,0.51,
"080438",6.0e-03,"<",1.0e-03,,4.0e-03,,0.38,,,,0.52,
"080439",6.0e-03,"<",1.0e-03,,3.0e-03,,0.32,,,,0.46,
"080440",6.0e-03,"<",1.0e-03,,3.0e-03,"<",0.50,,,,0.60,
"080441",6.0e-03,"<",2.0e-03,,3.0e-03,"<",0.50,,,,0.61,
"080442",9.0e-03,,5.0e-03,,0.01,,0.49,,,,0.62,
"080443",6.0e-03,"<",1.0e-03,,3.0e-03,"<",0.32,,,,0.48,
"080444",8.0e-03,,6.0e-03,,4.0e-03,,0.50,,,,0.62,
"080445",8.0e-03,,5.0e-03,,0.01,,0.41,,,,0.55,
"080446",6.0e-03,"<",1.0e-03,,9.0e-03,,0.27,,,,0.39,
"080447",6.0e-03,"<",2.0e-03,,0.02,,0.28,,,,0.42,
"080448",7.0e-03,,3.0e-03,,3.0e-03,,0.39,,,,0.52,
"080449",0.40,,0.06,,0.14,,0.12,,,,0.76,
"080450",0.62,,0.07,,0.14,,0.52,,,,1.99,
"080451",8.0e-03,,2.0e-03,,0.02,,0.35,,,,0.51,
"080452",0.46,,0.01,,0.10,,0.46,,,,1.30,
"080453",6.0e-03,"<",1.0e-03,,4.0e-03,,0.34,,,,0.49,
"080454",9.0e-03,,4.0e-03,,0.08,,0.39,,,,0.63,
"080457",6.0e-03,"<",1.0e-03,,3.0e-03,"<",0.35,,,,0.51,
"080458",0.01,,4.0e-03,,0.04,,0.38,,,,0.57,
"080459",6.0e-03,"<",1.0e-03,,6.0e-03,,0.32,,,,0.44,
"080460",7.0e-03,,3.0e-03,,0.02,,0.38,,,,0.54,
"080461",6.0e-03,"<",1.0e-03,,3.0e-03,"<",0.36,,,,0.50,
"080462",0.01,,4.0e-03,,0.05,,0.46,,,,0.67,
"080463",0.01,,6.0e-03,,6.0e-03,,0.43,,,,0.58,
"080467",0.02,,5.0e-03,,0.14,,0.46,,,,0.80,
"080468",0.05,,4.0e-03,,0.08,,0.42,,,,0.71,
"080469",0.08,,0.02,,0.11,,0.42,,,,0.78,
"080470",0.87,,0.05,,0.11,,0.41,,,,2.67,
"080471",6.0e-03,"<",1.0e-03,,0.01,,0.36,,,,0.49,
"080472",8.0e-03,,5.0e-03,,7.0e-03,,0.42,,,,0.57,
"080473",8.0e-03,,4.0e-03,,0.03,,0.39,,,,0.56,
"080476",0.07,,0.01,,0.14,,0.37,,,,0.76,
"080477",0.01,,6.0e-03,,0.09,,0.31,,,,0.52,
"080478",0.01,,5.0e-03,,0.07,,0.26,,,,0.47,
"080479",7.0e-03,,3.0e-03,,0.04,,0.23,,,,0.39,
"080480",6.0e-03,"<",2.0e-03,,0.01,,0.19,,,,0.34,
"080578",0.85,,0.04,,0.19,,0.30,,,,1.28,
"080579",0.04,,0.13,,0.07,,0.26,,,,0.56,
"080580",0.02,,0.01,,0.02,,0.26,,,,0.50,
"080581",0.01,,7.0e-03,,0.01,,0.23,,,,0.42,
"080582",0.01,,5.0e-03,,0.02,,0.21,,,,0.38,
"080583",8.0e-03,,5.0e-03,,0.01,,0.33,,,,0.47,
"080584",0.01,,1.0e-03,,3.0e-03,,0.47,,,,0.58,
"080585",9.0e-03,,8.0e-03,,3.0e-03,,0.52,,,,0.61,
"080586",0.01,,1.0e-03,,4.0e-03,,0.33,,,,0.46,
"080587",0.01,,2.0e-03,,3.0e-03,"<",0.42,,,,0.55,
"080588",0.01,,2.0e-03,,3.0e-03,"<",0.43,,,,0.55,
"080902",0.01,,5.0e-03,,9.0e-03,,0.39,,,,0.59,
"080903",0.01,,7.0e-03,,0.02,,0.38,,,,0.60,
"080904",9.0e-03,,3.0e-03,,0.01,,0.23,,,,0.40,
"080905",0.01,,5.0e-03,,0.01,,0.43,,,,0.57,
"080906",0.01,,0.01,,0.01,,0.38,,,,0.55,
"081354",5.0e-03,,4.0e-03,,9.0e-03,,0.17,,,,0.46,
"081355",4.0e-03,,3.0e-03,,0.01,,0.17,,,,0.49,
"081356",4.0e-03,,4.0e-03,,0.01,,0.35,,,,0.62,
"081357",4.0e-03,"<",5.0e-03,,6.0e-03,,0.41,,,,0.67,
"081358",4.0e-03,,3.0e-03,,9.0e-03,,0.14,,,,0.47,
"081359",4.0e-03,,4.0e-03,,0.01,,0.26,,,,0.58,
"081360",6.0e-03,,6.0e-03,,0.01,,0.38,,,,0.65,
"081361",9.0e-03,,5.0e-03,,0.01,,0.16,,,,0.50,
"081362",0.01,,8.0e-03,,0.01,,0.40,,,,0.70,
"081363",7.0e-03,,4.0e-03,,0.01,,0.44,,,,0.65,
"081364",8.0e-03,,0.01,,7.0e-03,,0.03,,,,0.31,
"081365",0.01,,6.0e-03,,7.0e-03,,0.21,,,,0.44,
"081366",0.01,,0.01,,0.01,,0.48,,,,0.62,
"081367",8.0e-03,,3.0e-03,,7.0e-03,,0.01,,,,0.29,
"081368",0.03,,0.01,,0.01,,0.12,,,,0.40,
"081369",0.01,,0.01,,0.01,,0.30,,,,0.50,
"081370",0.15,,0.07,,0.22,,0.22,,,,0.50,
"081371",0.01,,4.0e-03,,0.01,,0.21,,,,0.65,
"081372",0.01,,9.0e-03,,7.0e-03,,0.41,,,,0.70,
"081373",0.01,,6.0e-03,,0.02,,0.41,,,,0.67,
"081376",0.01,,6.0e-03,,0.01,,0.22,,,,0.63,
"081377",0.05,,0.01,,0.01,,0.37,,,,0.68,
"081378",0.01,,9.0e-03,,9.0e-03,,0.45,,,,0.74,
"081379",0.16,,0.15,,0.12,,0.22,,,,0.60,
"081380",0.09,,0.02,,0.02,,0.24,,,,0.58,
"081381",0.12,,0.01,,0.03,,0.27,,,,0.60,
"081385",0.03,,0.01,,0.01,,0.23,,,,0.63,
"081386",0.06,,0.01,,0.04,,0.22,,,,0.56,
"081387",0.01,,0.01,,0.01,,0.49,,,,0.73,
"081388",0.02,,8.0e-03,,0.07,,0.19,,,,0.37,
"081389",5.0e-03,,2.0e-03,,0.01,,0.10,,,,0.39,
"081390",7.0e-03,,5.0e-03,,0.03,,0.32,,,,0.61,
"081391",8.0e-03,,1.0e-03,"<",0.04,,0.32,,,,0.58,
"081394",7.0e-03,,4.0e-03,,0.02,,0.36,,,,0.56,
"081395",5.0e-03,,3.0e-03,,0.01,,0.36,,,,0.58,
"082431",0.01,,6.0e-03,,3.0e-03,"<",0.38,,,,0.46,
"082432",0.02,,6.0e-03,,4.0e-03,,0.36,,,,0.49,
"082434",4.0e-03,"<",5.0e-03,,0.01,,0.16,,,,0.36,
"082435",0.02,,5.0e-03,,6.0e-03,,0.41,,,,0.53,
"082436",0.01,,5.0e-03,,9.0e-03,,0.40,,,,0.49,
"082437",6.0e-03,,0.01,,3.0e-03,"<",0.49,,,,0.54,
"082438",0.02,,4.0e-03,,6.0e-03,,0.14,,,,0.31,
"082439",0.02,,5.0e-03,,3.0e-03,"<",0.40,,,,0.54,
"082440",0.02,,0.01,,8.0e-03,,0.47,,,,0.48,
"082441",0.01,,6.0e-03,,3.0e-03,"<",0.19,,,,0.23,
"082442",0.01,,5.0e-03,,3.0e-03,"<",0.36,,,,0.48,
"082443",0.03,,0.01,,4.0e-03,,0.51,,,,0.53,
"082444",0.02,,4.0e-03,,3.0e-03,,0.12,,,,0.23,
"082445",0.01,,0.01,,0.02,,0.47,,,,0.62,
"082446",4.0e-03,,4.0e-03,,7.0e-03,,0.09,,,,0.26,
"082447",4.0e-03,,5.0e-03,,0.02,,0.04,,,,0.28,
"082448",0.09,,8.0e-03,,0.01,,0.28,,,,0.62,
"082449",5.0e-03,,6.0e-03,,3.0e-03,"<",0.20,,,,0.36,
"082450",0.01,,5.0e-03,,3.0e-03,"<",0.39,,,,0.54,
"082451",0.01,,8.0e-03,,6.0e-03,,0.47,,,,0.58,
"082452",4.0e-03,"<",1.0e-03,,9.0e-03,,0.22,,,,0.40,
"082453",0.02,,0.01,,0.01,,0.37,,,,0.55,
"082454",0.05,,9.0e-03,,0.01,,0.53,,,,0.58,
"082457",4.0e-03,,3.0e-03,,5.0e-03,,0.25,,,,0.39,
"082458",0.02,,5.0e-03,,0.02,,0.24,,,,0.47,
"082459",0.02,,0.01,,8.0e-03,,0.52,,,,0.62,
"082460",9.0e-03,,2.0e-03,,0.02,,0.23,,,,0.40,
"082461",0.04,,3.0e-03,,0.01,,0.21,,,,0.43,
"082462",0.04,,1.0e-03,"<",5.0e-03,,0.16,,,,0.45,
"082463",0.04,,1.0e-03,"<",6.0e-03,,0.14,,,,0.30,
"082464",0.04,,0.01,,0.17,,0.17,,,,0.43,
"082465",0.07,,5.0e-03,,0.03,,0.02,,,,0.26,
"925709",0.01,,0.01,"<",0.06,,0.40,,,"N",,
"926688",0.47,,0.01,,0.18,,0.02,"<",,"N",,
"926689",0.02,,0.01,,0.08,,0.02,"<",,"N",,
"926690",0.01,,5.0e-03,"<",0.12,,0.03,,,"N",,
"926691",0.01,,5.0e-03,"<",0.08,,0.07,,,"N",,
"926692",0.01,,8.0e-03,,0.17,,0.09,,,"N",,
"926693",0.01,,0.01,,0.02,"<",0.02,"<",,"N",,
"926694",0.01,,5.0e-03,"<",0.07,,0.13,,,"N",,
"926695",0.01,,5.0e-03,,0.09,,0.14,,,"N",,
"926696",0.01,,0.01,,0.12,,0.58,,,"N",,
"926697",0.01,"<",5.0e-03,"<",0.08,,0.16,,,"N",,
"926698",0.01,,5.0e-03,"<",0.07,,0.25,,,"N",,
"926699",0.01,,0.01,,0.08,,0.57,,,"N",,
"926700",0.01,"<",5.0e-03,"<",0.12,,0.34,,,"N",,
"926701",0.02,,5.0e-03,"<",0.15,,0.41,,,"N",,
"926702",0.01,,5.0e-03,"<",0.11,,0.33,,,"N",,
"926703",0.01,,5.0e-03,"<",0.14,,0.42,,,"N",,
"926704",0.02,,0.01,,0.09,,1.07,,,"N",,
"926705",0.01,"<",5.0e-03,"<",0.10,,0.33,,,"N",,
"926706",0.01,,7.0e-03,,0.12,,0.43,,,"N",,
"926707",0.03,,0.02,,0.09,,0.61,,,"N",,
"926711",0.34,,0.01,,0.13,,0.47,,,"N",,
"926712",0.01,"<",5.0e-03,"<",0.11,,0.31,,,"N",,
"926713",0.01,"<",7.0e-03,,0.11,,0.43,,,"N",,
"926714",0.01,,0.01,,0.11,,0.55,,,"N",,
"926715",0.01,,5.0e-03,,0.09,,0.28,,,"N",,
"926716",0.01,,5.0e-03,"<",0.09,,0.36,,,"N",,
"926717",0.01,,0.02,,0.10,,0.51,,,"N",,
"926718",0.01,"<",5.0e-03,"<",0.10,,0.24,,,"N",,
"926719",0.01,"<",5.0e-03,"<",0.07,,0.43,,,"N",,
"926720",0.01,"<",7.0e-03,,0.13,,0.18,,,"N",,
"926721",0.01,"<",5.0e-03,"<",0.08,,0.25,,,"N",,
"926722",0.01,"<",5.0e-03,"<",0.08,,0.26,,,"N",,
"926723",0.01,"<",8.0e-03,,0.08,,0.49,,,"N",,
"926727",0.01,"<",5.0e-03,"<",0.10,,0.17,,,"N",,
"926728",0.01,"<",5.0e-03,"<",0.08,,0.38,,,"N",,
"926729",0.01,"<",5.0e-03,"<",0.09,,0.52,,,"N",,
"926732",0.01,"<",5.0e-03,"<",0.10,,0.04,,,"N",,
"926733",0.01,"<",5.0e-03,"<",0.08,,0.27,,,"N",,
"926734",0.01,"<",5.0e-03,,0.23,,0.02,"<",,"N",,
"926737",0.01,"<",5.0e-03,"<",0.06,,0.06,,,"N",,
"926738",0.01,,5.0e-03,,0.10,,0.47,,,"N",,
"926739",0.01,,9.0e-03,,0.09,,0.52,,,"N",,
"926745",1.37,,8.0e-03,,0.11,,0.29,,,"N",,
"926750",1.02,,0.01,,0.13,,0.05,,,"N",,
"926751",1.97,,0.01,,0.14,,0.05,,,"N",,
"926752",0.93,,0.01,,0.22,,0.06,,,"N",,
"926753",0.67,,0.01,,0.17,,0.06,,,"N",,
"927880",0.01,,9.0e-03,,0.05,,0.42,,,"N",,
"930507",7.0e-03,,5.0e-03,"<",0.11,,0.26,,,"N",,
"930508",7.0e-03,,7.0e-03,,0.11,,0.20,,,"N",,
"930509",7.0e-03,,7.0e-03,,0.08,,0.52,,,"N",,
"930510",0.02,,0.01,,0.14,,0.70,,,"N",,
"930511",8.0e-03,,5.0e-03,"<",0.07,,0.27,,,"N",,
"930512",0.01,,6.0e-03,,0.11,,0.63,,,"N",,
"930513",5.0e-03,"<",5.0e-03,"<",0.06,,0.17,,,"N",,
"930514",0.01,,6.0e-03,,0.10,,0.48,,,"N",,
"930515",5.0e-03,"<",5.0e-03,,0.06,,0.26,,,"N",,
"930516",0.01,,0.01,,0.10,,0.55,,,"N",,
"930517",0.01,,5.0e-03,"<",0.06,,0.30,,,"N",,
"930518",0.05,,0.04,,0.08,,0.56,,,"N",,
"930519",0.01,,0.01,,0.08,,0.48,,,"N",,
"930522",0.19,,0.03,,0.14,,0.60,,,"N",,
"930525",0.01,,5.0e-03,,0.07,,0.40,,,"N",,
"930526",8.0e-03,,8.0e-03,,0.12,,0.50,,,"N",,
"930528",9.0e-03,,0.01,,0.08,,0.39,,,"N",,
"930529",0.01,,0.01,,0.12,,0.48,,,"N",,
"930530",7.0e-03,,5.0e-03,"<",0.06,,0.42,,,"N",,
"930531",0.02,,0.01,,0.12,,0.50,,,"N",,
"930532",5.0e-03,"<",5.0e-03,"<",0.05,,0.40,,,"N",,
"930533",9.0e-03,,5.0e-03,"<",0.11,,0.48,,,"N",,
"930537",5.0e-03,,5.0e-03,"<",0.06,,0.33,,,"N",,
"930538",0.01,,6.0e-03,,0.10,,0.46,,,"N",,
"930539",5.0e-03,"<",5.0e-03,"<",0.08,,0.23,,,"N",,
"930540",0.01,,5.0e-03,"<",0.07,,0.45,,,"N",,
"930541",0.01,,0.01,,0.06,,0.47,,,"N",,
"930542",0.01,,5.0e-03,"<",0.06,,0.38,,,"N",,
"930543",0.01,,0.01,,0.07,,0.49,,,"N",,
"930544",7.0e-03,,7.0e-03,,0.09,,0.47,,,"N",,
"930547",5.0e-03,"<",5.0e-03,"<",0.05,,0.29,,,"N",,
"930548",8.0e-03,,5.0e-03,"<",0.05,,0.51,,,"N",,
"930549",0.05,,0.08,,0.14,,1.33,,,"N",,
"931084",0.04,,0.04,,0.11,,0.81,,,"N",,
"931086",0.03,,0.04,,0.10,,0.78,,,"N",,
"931087",5.0e-03,"<",,"N",,"N",,"N",,"N",,
"G-7295",0.01,,0.02,,0.01,"<",2.0e-03,,0.27,,,
"G-7296",0.01,,0.01,,0.01,,0.04,,0.23,,,
"G-7297",5.0e-03,,5.0e-03,"<",0.01,"<",0.23,,0.25,,,
"G-7298",5.0e-03,"<",5.0e-03,"<",0.01,,0.44,,0.24,,,
"G-7299",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.50,,0.10,,,
"G-7300",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.63,,0.20,,,
"G-7301",5.0e-03,"<",5.0e-03,"<",0.01,"<",0.67,,0.21,,,
"G-7302",5.0e-03,,5.0e-03,"<",0.01,"<",0.70,,0.18,,,
