"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"B-2388",992.00,8.10,,,707.00,,85.76,,30.26,,94.71,,4.69,,0.00,,169.02,,,,62.40,,311.25,,,,,
"B-2389",999.00,8.20,,,726.00,,86.36,,31.59,,96.55,,4.69,,0.00,,170.24,,,,66.30,,315.57,,,,,
"B-2390",1170.00,8.00,,,869.00,,105.20,,34.75,,119.54,,5.47,,0.00,,184.27,,,,84.02,,387.14,,,,,
"B-2391",1240.00,7.90,,,920.00,,106.80,,40.58,,132.42,,5.47,,0.00,,188.54,,,,90.76,,428.44,,,,,
"B-2392",1240.00,7.90,,,931.00,,106.80,,40.10,,127.82,,5.47,,0.00,,189.76,,,,92.89,,413.07,,,,,
"B-2393",1250.00,8.00,,,930.00,,109.41,,40.10,,129.66,,5.47,,0.00,,190.37,,,,91.47,,424.60,,,,,
"B-2394",1270.00,7.80,,,942.00,,108.81,,38.64,,124.37,,5.08,,0.00,,192.20,,,,92.89,,402.51,,,,,
"B-2395",1260.00,7.90,,,941.00,,108.21,,40.10,,123.91,,5.08,,0.00,,191.59,,,,93.60,,399.14,,,,,
"B-2396",953.00,8.20,,,695.00,,85.16,,28.07,,95.86,,4.30,,0.00,,165.36,,,,62.40,,305.96,,,,,
"B-2397",960.00,8.20,,,697.00,,83.36,,28.80,,95.86,,4.30,,0.00,,165.36,,,,59.56,,308.36,,,,,
"B-2398",1010.00,8.10,,,734.00,,85.16,,31.59,,97.70,,4.30,,0.00,,168.41,,,,67.71,,314.13,,,,,
"B-2399",1120.00,8.00,,,821.00,,93.78,,35.48,,108.28,,4.69,,0.00,,179.39,,,,78.35,,349.67,,,,,
"B-2400",1150.00,8.00,,,880.00,,99.59,,37.55,,114.02,,5.08,,0.00,,187.32,,,,87.57,,365.52,,,,,
"B-2401",969.00,8.00,,,707.00,,82.76,,30.26,,94.48,,4.30,,0.00,,167.80,,,,62.40,,304.04,,,,,
"B-2402",1240.00,8.20,,,914.00,,107.20,,39.01,,119.77,,5.08,,0.00,,188.54,,,,90.05,,397.22,,,,,
"B-2403",1250.00,8.00,,,916.00,,113.42,,37.18,,121.38,,5.08,,0.00,,192.20,,,,90.76,,404.43,,,,,
"B-2404",937.00,8.40,,,676.00,,83.96,,27.10,,87.59,,4.30,,9.90,,142.17,,,,51.05,,299.72,,,,,
"B-2405",922.00,8.20,,,681.00,,83.96,,28.80,,87.82,,3.91,,0.00,,162.30,,,,50.34,,307.40,,,,,
"B-2406",978.00,8.20,,,706.00,,83.96,,30.26,,91.49,,3.91,,0.00,,165.97,,,,62.40,,301.64,,,,,
"B-2407",1070.00,8.00,,,769.00,,93.78,,36.94,,105.06,,4.69,,0.00,,176.34,,,,73.39,,357.84,,,,,
"B-2408",1200.00,7.80,,,896.00,,99.59,,37.18,,117.47,,4.69,,0.00,,189.76,,,,92.89,,361.68,,,,,
"B-2409",1210.00,7.80,,,873.00,,103.60,,35.48,,118.62,,4.69,,0.00,,190.98,,,,94.30,,364.08,,,,,
"B-2410",1210.00,7.70,,,873.00,,101.39,,36.57,,118.16,,4.69,,0.00,,189.76,,,,94.30,,363.12,,,,,
"B-2411",833.00,8.10,,,612.00,,81.15,,24.54,,71.72,,3.12,,0.00,,149.49,,,,25.17,,293.47,,,,,
"B-2412",828.00,8.20,,,612.00,,79.95,,24.91,,71.49,,3.12,,0.00,,148.88,,,,24.46,,294.92,,,,,
"B-2413",940.00,8.20,,,685.00,,83.36,,28.80,,87.82,,3.91,,0.00,,162.30,,,,54.60,,300.20,,,,,
"B-2414",902.00,7.80,,,671.00,,87.97,,28.07,,83.22,,3.51,,0.00,,158.03,,,,35.10,,328.06,,,,,
"B-2415",897.00,7.90,,,657.00,,86.36,,27.70,,83.45,,3.51,,0.00,,157.42,,,,38.64,,318.45,,,,,
"B-2416",795.00,8.30,,,552.00,,73.54,,27.10,,68.51,,3.51,,8.10,,140.95,,,,51.05,,237.76,,,,,
"B-2417",795.00,8.40,,,546.00,,73.54,,27.10,,68.51,,3.51,,15.00,,136.68,,,,48.92,,232.95,,,,,
"B-2418",970.00,8.10,,,685.00,,83.96,,30.50,,95.63,,4.30,,0.00,,168.41,,,,61.69,,310.77,,,,,
"B-2419",950.00,8.20,,,667.00,,83.96,,30.86,,89.20,,4.30,,0.00,,167.19,,,,58.85,,303.56,,,,,
"B-2420",1200.00,7.80,,,863.00,,99.99,,41.07,,129.66,,5.08,,0.00,,195.25,,,,100.69,,389.06,,,,,
"B-2421",1200.00,7.90,,,865.00,,98.99,,39.01,,127.82,,5.08,,0.00,,195.25,,,,98.56,,377.53,,,,,
"B-2422",1080.00,8.20,,,784.00,,92.17,,35.85,,109.89,,4.69,,0.00,,184.88,,,,83.31,,339.58,,,,,
"B-2423",1080.00,8.20,,,776.00,,92.17,,34.27,,110.81,,4.69,,0.00,,182.44,,,,81.90,,339.10,,,,,
"B-2424",1100.00,8.00,,,797.00,,89.57,,34.75,,114.94,,4.69,,0.00,,189.76,,,,88.28,,329.02,,,,,
"B-2425",1020.00,8.10,,,751.00,,88.57,,34.27,,105.29,,4.69,,0.00,,176.95,,,,75.51,,331.90,,,,,
"B-2426",1200.00,7.80,,,859.00,,94.78,,39.01,,126.44,,4.69,,0.00,,195.25,,,,97.14,,366.00,,,,,
"B-2427",994.00,8.30,,,692.00,,77.35,,31.59,,100.46,,4.69,,7.20,,152.54,,,,81.90,,283.39,,,,,
"B-2428",1020.00,8.00,,,721.00,,81.75,,33.17,,107.36,,4.69,,0.00,,170.85,,,,91.47,,298.76,,,,,
"B-2429",1050.00,7.80,,,739.00,,83.36,,34.27,,60.23,,4.69,,0.00,,171.46,,,,88.63,,307.88,,,,,
"B-2430",1040.00,8.30,,,738.00,,92.98,,30.50,,97.70,,4.69,,12.90,,149.49,,,,70.55,,319.41,,,,,
"B-2802",985.00,8.30,,,693.00,,78.95,,31.59,,94.94,,3.51,,5.70,,137.90,,,,67.01,,308.36,,,,,
"B-2803",842.00,8.30,,,587.00,,71.13,,28.43,,79.08,,3.91,,10.50,,128.14,,,,55.31,,260.33,,,,,
"B-2804",966.00,8.00,,,672.00,,80.75,,29.53,,90.12,,4.30,,0.00,,164.14,,,,66.30,,284.83,,,,,
"B-2805",1070.00,7.80,,,772.00,,92.17,,34.75,,102.30,,4.69,,0.00,,172.07,,,,72.68,,343.91,,,,,
"B-2806",1230.00,8.20,,,890.00,,104.20,,39.49,,118.62,,5.08,,0.00,,184.27,,,,87.57,,396.26,,,,,
"B-2807",1250.00,8.00,,,913.00,,105.20,,41.56,,123.22,,5.08,,0.00,,189.76,,,,90.76,,407.79,,,,,
