"Lab.Maj","Cond","pH","TSS","TSS_flg","TDS","TDS_flg","Ca","Ca_flg","Mg","Mg_flg","Na","Na_flg","K","K_flg","CO3","CO3_flg","HCO3","HCO3_flg","Alkalinity","Alkalinity_flg","Cl","Cl_flg","SO4","SO4_flg","SiO2","SiO2_flg","Fe","Fe_flg"
"042512",960.00,7.46,2.00,"<",,,87.70,,26.50,,82.00,,4.02,,1.40,"<",191.00,,157.00,,72.10,,250.00,,6.60,,7.20,
"042513",857.00,7.73,2.00,"<",,,69.20,,24.50,,74.00,,3.97,,1.40,"<",157.00,,129.00,,51.10,,240.00,,4.60,,1.00,"<"
"042514",845.00,7.74,2.00,"<",,,72.70,,24.70,,74.50,,4.96,,1.40,"<",151.00,,124.00,,55.10,,247.00,,4.10,,2.42,
"042515",866.00,7.67,2.00,,,,70.10,,25.00,,76.00,,4.02,,1.40,"<",161.00,,132.00,,51.10,,252.00,,3.90,,1.39,
"042516",948.00,7.48,2.00,,,,80.70,,26.30,,82.00,,4.01,,1.40,"<",183.00,,150.00,,71.10,,235.00,,5.50,,1.60,
"042517",965.00,7.42,2.50,,,,78.70,,27.00,,83.00,,3.97,,1.40,"<",182.00,,150.00,,79.10,,265.00,,5.00,,1.00,"<"
"042518",908.00,7.48,2.50,,,,74.70,,25.40,,77.50,,3.92,,1.40,"<",171.00,,140.00,,60.10,,250.00,,4.30,,5.30,
"042519",850.00,7.69,2.00,"<",,,63.90,,24.80,,74.50,,4.92,,1.40,"<",155.00,,127.00,,55.10,,232.00,,3.00,"<",1.75,
"042520",960.00,7.48,2.00,"<",,,75.60,,26.60,,82.50,,4.02,,1.40,"<",183.00,,150.00,,70.10,,255.00,,3.60,,3.45,
"042521",863.00,7.67,2.00,"<",,,64.70,,24.50,,74.50,,3.90,,1.40,"<",156.00,,128.00,,57.10,,227.00,,3.00,"<",4.00,
"042522",853.00,7.60,2.00,"<",,,69.80,,24.30,,72.00,,3.92,,1.40,"<",161.00,,132.00,,51.10,,232.00,,6.00,,1.00,"<"
"042523",833.00,7.77,2.70,,,,66.80,,24.10,,72.00,,3.86,,1.40,"<",154.00,,126.00,,52.10,,227.00,,6.00,,1.63,
"042524",834.00,7.76,2.00,"<",,,67.00,,24.20,,73.00,,3.87,,1.40,"<",162.00,,133.00,,54.10,,230.00,,5.90,,11.70,
"042525",942.00,7.41,3.00,,,,80.00,,26.20,,81.50,,4.02,,1.40,"<",176.00,,144.00,,63.10,,255.00,,7.40,,1.00,"<"
"042526",967.00,7.41,2.00,,,,81.80,,26.90,,83.00,,3.99,,1.40,"<",184.00,,151.00,,74.10,,265.00,,7.60,,1.00,"<"
"042527",791.00,7.76,2.00,,,,66.70,,22.80,,68.00,,3.73,,1.40,"<",158.00,,130.00,,52.10,,217.00,,5.80,,3.90,
"042528",886.00,7.43,3.50,,,,76.30,,24.20,,75.00,,3.90,,1.40,"<",168.00,,138.00,,53.10,,252.00,,6.90,,1.88,
"042529",964.00,7.53,2.50,,,,82.70,,27.00,,84.00,,4.00,,1.40,"<",185.00,,152.00,,73.10,,255.00,,7.40,,1.00,"<"
"042532",796.00,7.58,2.10,,,,65.00,,21.70,,69.00,,4.63,,1.40,"<",153.00,,126.00,,47.10,,222.00,,6.20,,2.03,
"042533",916.00,7.39,3.20,,,,77.30,,24.70,,79.00,,3.92,,1.40,"<",174.00,,142.00,,62.10,,242.00,,6.90,,2.72,
"042534",950.00,7.56,3.20,,,,81.70,,26.20,,82.50,,3.97,,1.40,"<",182.00,,149.00,,71.10,,262.00,,6.70,,1.00,"<"
"042535",665.00,7.72,2.00,"<",,,67.30,,16.30,,49.00,,3.38,,1.40,"<",142.00,,116.00,,19.00,,207.00,,4.80,,1.39,
"042536",836.00,7.42,4.10,,,,76.50,,20.00,,73.50,,3.92,,1.40,"<",175.00,,143.00,,37.00,,247.00,,5.60,,1.00,
"042537",910.00,7.38,15.10,,,,76.30,,24.10,,79.50,,3.94,,1.40,"<",182.00,,150.00,,63.10,,250.00,,5.00,,2.30,
"042538",643.00,7.78,3.20,,,,66.40,,16.00,,47.00,,3.36,,1.40,"<",138.00,,113.00,,17.00,,202.00,,4.30,,2.92,
"042539",748.00,7.70,10.40,,,,80.70,,20.10,,56.00,,3.11,,1.40,"<",169.00,,138.00,,19.00,,242.00,,4.40,,1.00,"<"
"042540",848.00,7.65,28.10,,,,87.70,,23.10,,55.00,,2.61,,1.40,"<",178.00,,146.00,,17.00,,270.00,,5.00,,1.45,
"042541",866.00,7.68,2.00,"<",,,71.10,,24.30,,71.00,,4.03,,1.40,"<",162.00,,133.00,,57.10,,232.00,,7.00,,1.00,"<"
"042542",997.00,7.50,2.30,,,,73.80,,22.90,,76.00,,3.07,,,,,,,,67.10,,284.00,,6.90,,13.40,
"042543",949.00,7.33,2.00,"<",,,80.00,,25.90,,81.00,,3.94,,1.40,"<",173.00,,142.00,,68.10,,252.00,,6.90,,1.08,
"042544",913.00,7.78,2.00,"<",,,76.90,,25.30,,75.50,,3.94,,1.40,"<",180.00,,147.00,,63.10,,255.00,,6.80,,1.00,"<"
"042545",1021.00,7.58,4.90,,,,88.10,,28.40,,88.50,,4.11,,1.40,"<",187.00,,154.00,,63.10,,294.00,,7.10,,1.00,"<"
"042546",943.00,7.34,5.10,,,,79.10,,26.30,,81.50,,3.94,,1.40,"<",182.00,,150.00,,68.10,,250.00,,7.60,,1.00,"<"
"042547",962.00,7.79,2.00,"<",,,85.30,,26.90,,82.00,,4.06,,1.40,"<",177.00,,145.00,,68.10,,275.00,,6.20,,1.00,"<"
"042550",1050.00,7.76,9.90,,,,88.00,,30.00,,93.00,,3.96,,1.40,"<",192.00,,158.00,,80.10,,297.00,,7.30,,1.00,"<"
"042551",992.00,7.82,4.20,,,,87.30,,28.10,,84.00,,4.10,,1.40,"<",174.00,,142.00,,70.10,,257.00,,7.30,,1.59,
"042552",1104.00,7.61,59.80,,,,88.80,,31.10,,101.00,,3.92,,1.40,"<",203.00,,166.00,,89.10,,300.00,,7.70,,4.24,
"042553",1190.00,7.58,1100.00,,,,93.00,,33.80,,111.00,,4.06,,1.40,"<",193.00,,158.00,,101.00,,297.00,,9.20,,3600.00,
"042554",1191.00,7.42,1190.00,,,,79.90,,34.20,,112.00,,3.32,,1.40,"<",203.00,,166.00,,104.00,,307.00,,9.80,,93.10,
"042555",660.00,7.50,717.00,,,,53.80,,20.50,,48.00,,3.15,,1.40,"<",182.00,,149.00,,30.00,,127.00,,7.90,,19.50,
"042556",650.00,7.36,1150.00,,,,58.80,,20.10,,50.50,,3.85,,1.40,"<",186.00,,153.00,,35.00,,150.00,,8.40,,1.00,"<"
"042557",705.00,7.41,3.00,,,,60.80,,20.30,,53.00,,4.12,,1.40,"<",155.00,,127.00,,41.00,,170.00,,5.90,,1.00,"<"
"042558",686.00,7.49,7.80,,,,58.30,,20.10,,50.50,,4.59,,1.40,"<",154.00,,126.00,,46.10,,160.00,,5.60,,2.08,
"042561",964.00,7.39,2.27,,,,78.70,,25.70,,82.50,,4.01,,1.40,"<",182.00,,150.00,,64.10,,252.00,,6.70,,1.91,
"042562",867.00,7.70,2.00,"<",,,67.00,,24.40,,75.00,,4.09,,1.40,"<",163.00,,134.00,,55.10,,230.00,,4.70,,1.00,"<"
"042563",865.00,7.71,2.00,"<",,,70.60,,24.90,,75.50,,3.93,,1.40,"<",154.00,,126.00,,57.10,,237.00,,4.40,,1.00,"<"
"050002",908.00,7.49,2.80,,,,74.60,,25.00,,76.00,,3.90,,1.40,"<",175.00,,143.00,,61.10,,250.00,,6.90,,2.12,
"050003",904.00,7.41,2.00,"<",,,76.20,,25.50,,78.00,,4.00,,1.40,"<",175.00,,143.00,,68.10,,247.00,,7.00,,1.00,"<"
"050004",848.00,7.65,2.00,"<",,,68.90,,24.50,,73.50,,3.90,,1.40,"<",165.00,,135.00,,47.10,,227.00,,6.30,,1.00,"<"
"050005",906.00,7.37,2.00,"<",,,74.90,,25.20,,77.00,,3.90,,1.40,"<",178.00,,146.00,,51.10,,257.00,,7.50,,1.00,"<"
"050006",957.00,7.44,2.00,"<",,,79.40,,26.80,,82.00,,4.10,,1.40,"<",189.00,,155.00,,61.10,,267.00,,7.40,,10.36,
"050007",962.00,7.33,5.40,,,,80.20,,27.00,,84.00,,4.10,,1.40,"<",186.00,,153.00,,71.10,,252.00,,7.90,,2.29,
"050100",847.00,7.50,2.00,,,,67.80,,26.30,,71.50,,3.90,,1.40,"<",161.00,,132.00,,49.10,,240.00,,5.90,,1.00,"<"
"050101",920.00,7.10,3.00,,,,75.10,,25.30,,77.00,,3.90,,1.40,"<",171.00,,140.00,,55.10,,250.00,,7.50,,1.00,"<"
"050102",989.00,7.00,7.00,,,,81.10,,27.20,,83.50,,3.90,,1.40,"<",188.00,,154.00,,69.10,,252.00,,8.30,,1.00,"<"
"050103",898.00,7.20,4.00,,,,71.70,,25.00,,76.50,,3.90,,1.40,"<",165.00,,135.00,,54.10,,247.00,,7.60,,3.38,
"050104",890.00,7.40,4.00,,,,72.00,,24.90,,76.00,,3.90,,1.40,"<",167.00,,137.00,,58.10,,227.00,,7.20,,1.00,"<"
"050399",802.00,7.80,2.00,"<",,,69.60,,23.50,,72.00,,3.96,,1.40,"<",92.80,,76.00,,61.00,,237.00,,6.40,,1.00,"<"
"050400",746.00,7.60,2.00,"<",,,65.50,,22.70,,68.00,,3.82,,1.40,"<",102.00,,83.20,,51.00,,225.00,,5.80,,1.00,"<"
"050401",915.00,7.90,2.00,"<",,,77.40,,25.60,,79.00,,3.94,,1.40,"<",177.00,,145.00,,67.00,,247.00,,6.80,,1.00,"<"
"050402",984.00,7.70,5.00,,,,83.00,,27.40,,84.50,,4.02,,1.40,"<",182.00,,149.00,,72.00,,255.00,,7.30,,1.00,"<"
"050403",1012.00,7.80,2.00,"<",,,81.50,,27.20,,84.00,,3.90,,1.40,"<",189.00,,155.00,,70.00,,265.00,,6.20,,1.00,"<"
"050406",830.00,7.90,2.00,"<",,,68.00,,23.70,,71.50,,3.79,,1.40,"<",157.00,,129.00,,52.00,,225.00,,5.10,,1.00,"<"
"050407",931.00,7.80,2.00,"<",,,77.90,,25.80,,80.00,,3.95,,1.40,"<",179.00,,146.00,,64.00,,245.00,,7.10,,1.00,"<"
"050408",947.00,7.60,2.00,"<",,,84.70,,28.10,,89.50,,4.24,,1.40,"<",129.00,,106.00,,75.00,,272.00,,6.90,,1.00,"<"
"050409",857.00,7.80,2.00,"<",,,70.50,,22.30,,68.00,,3.58,,1.40,"<",162.00,,133.00,,50.00,,210.00,,5.00,,1.00,"<"
"050410",910.00,7.70,2.00,"<",,,79.70,,26.40,,81.50,,3.96,,1.40,"<",121.00,,99.20,,70.00,,255.00,,4.60,,1.00,"<"
"050411",850.00,8.30,2.00,"<",,,76.20,,25.50,,83.70,,4.35,,1.40,"<",65.40,,53.60,,72.00,,270.00,,4.80,,1.00,"<"
"050412",693.00,7.60,2.00,"<",,,68.60,,18.20,,56.00,,3.44,,1.40,"<",130.00,,106.00,,27.00,,225.00,,5.50,,1.00,"<"
"050413",660.00,7.70,6.00,,,,67.80,,16.80,,63.00,,3.43,,1.40,"<",88.80,,72.80,,21.00,,247.00,,6.70,,1.00,"<"
"050414",635.00,7.50,4.00,,,,66.60,,17.80,,55.50,,3.42,,1.40,"<",96.70,,79.20,,21.00,,220.00,,6.20,,1.00,"<"
"050415",860.00,7.90,15.00,,,,82.60,,20.90,,72.50,,3.59,,1.40,"<",175.00,,143.00,,28.00,,272.00,,5.70,,1.00,"<"
"050416",996.00,7.70,3520.00,,,,98.40,,27.40,,71.50,,3.45,,1.40,"<",209.00,,171.00,,22.00,,307.00,,5.70,,1.03,
"050417",757.00,7.90,6.00,,,,66.80,,21.10,,60.00,,4.04,,1.40,"<",161.00,,132.00,,45.00,,200.00,,5.90,,1.00,"<"
"050418",950.00,7.80,2.00,"<",,,83.00,,26.70,,80.50,,3.96,,1.40,"<",181.00,,148.00,,64.00,,270.00,,9.90,,1.00,"<"
"050419",1002.00,7.80,6.00,,,,80.10,,27.30,,89.00,,4.13,,1.40,"<",189.00,,155.00,,70.00,,245.00,,6.30,,2.79,
"050420",885.00,7.90,2.00,"<",,,75.70,,24.50,,74.00,,3.89,,1.40,"<",169.00,,138.00,,55.00,,222.00,,5.60,,1.00,"<"
"050421",920.00,7.70,2.00,"<",,,81.00,,28.80,,93.50,,4.07,,1.40,"<",135.00,,110.00,,73.00,,275.00,,4.50,,1.00,"<"
"050422",830.00,7.60,2.00,"<",,,75.50,,23.70,,72.50,,3.88,,1.40,"<",103.00,,84.80,,59.00,,242.00,,3.00,,1.00,"<"
"050423",1068.00,7.80,5.00,,,,82.40,,30.50,,101.00,,4.16,,1.40,"<",199.00,,163.00,,83.00,,292.00,,3.80,,1.00,"<"
"050426",977.00,7.90,10.00,,,,78.10,,26.70,,86.00,,3.95,,1.40,"<",180.00,,147.00,,69.00,,267.00,,5.20,,1.06,
"050427",987.00,8.00,399.00,,,,75.80,,29.50,,102.70,,4.04,,1.40,"<",122.00,,100.00,,85.00,,277.00,,5.20,,3.22,
"050428",960.00,7.90,2350.00,,,,69.70,,26.60,,94.10,,3.53,,1.40,"<",118.00,,96.80,,75.00,,252.00,,4.60,,11.50,
"050429",1097.00,7.60,2570.00,,,,77.80,,31.20,,108.50,,3.98,,1.40,"<",208.00,,170.00,,81.00,,275.00,,6.90,,1.00,"<"
"050431",602.00,7.70,19.00,,,,51.60,,18.70,,44.00,,4.38,,1.40,"<",159.00,,130.00,,30.00,,140.00,,6.30,,1.00,"<"
"050432",660.00,7.80,8.00,,,,58.30,,19.80,,54.00,,4.22,,1.40,"<",91.80,,75.20,,41.00,,180.00,,3.00,,2.11,
"050433",873.00,7.60,7.00,,,,73.80,,24.10,,72.50,,3.98,,1.40,"<",169.00,,138.00,,50.00,,225.00,,6.50,,1.00,"<"
"050434",585.00,7.50,755.00,,,,49.80,,20.20,,36.00,,3.93,,1.40,"<",175.00,,143.00,,21.00,,125.00,,4.20,,6.78,
"050435",902.00,7.80,5.00,,,,74.50,,25.50,,78.00,,3.98,,1.40,"<",171.00,,140.00,,62.00,,250.00,,3.20,,1.00,"<"
"050680",939.00,7.50,2.00,"<",,,74.70,,27.30,,82.50,,4.15,,1.40,"<",176.00,,144.00,,65.10,,255.00,,8.30,,1.00,"<"
"050681",927.00,7.40,2.00,"<",,,75.80,,26.60,,81.00,,4.16,,1.40,"<",175.00,,143.00,,66.10,,250.00,,8.80,,1.00,"<"
"050682",869.00,7.80,2.00,"<",,,69.40,,25.10,,75.50,,4.06,,1.40,"<",163.00,,134.00,,59.10,,250.00,,7.60,,1.00,"<"
"050683",929.00,7.50,2.00,"<",,,76.00,,26.70,,81.50,,4.13,,1.40,"<",176.00,,144.00,,70.10,,262.00,,9.60,,1.00,"<"
"050684",933.00,7.70,2.00,"<",,,80.50,,28.10,,87.00,,4.36,,1.40,"<",182.00,,150.00,,70.10,,275.00,,9.50,,1.00,"<"
"050939",907.00,7.50,2.00,,,,72.80,,26.00,,79.00,,4.07,,1.40,"<",167.00,,137.00,,62.10,,247.00,,6.60,,1.00,"<"
"050940",898.00,7.50,5.00,,,,70.40,,25.30,,77.50,,4.05,,1.40,"<",167.00,,137.00,,60.10,,255.00,,7.60,,1.00,"<"
"050941",860.00,8.10,2.00,,,,67.00,,25.20,,74.50,,4.03,,1.40,"<",164.00,,134.00,,56.10,,240.00,,6.90,,1.00,"<"
"050942",891.00,7.60,2.00,"<",,,68.30,,25.40,,77.00,,4.01,,1.40,"<",157.00,,129.00,,62.10,,250.00,,7.50,,1.00,"<"
"050943",964.00,7.40,2.00,"<",,,74.00,,27.30,,84.00,,4.18,,1.40,"<",175.00,,143.00,,70.10,,252.00,,8.10,,1.00,"<"
"050944",999.00,7.50,2.00,"<",,,75.20,,27.90,,89.00,,4.38,,1.40,"<",176.00,,144.00,,69.10,,277.00,,7.80,,1.00,"<"
"051253",511.00,7.70,2.00,"<",,,29.60,,10.30,,68.50,,2.03,,1.40,"<",176.00,,144.00,,29.00,,81.00,,13.50,,1.00,"<"
"051254",884.00,7.10,2.00,"<",,,72.10,,17.10,,76.50,,1.00,,1.40,"<",177.00,,145.00,,41.00,,170.00,,19.50,,1.00,"<"
"051255",855.00,7.30,2.00,,,,74.10,,25.00,,72.00,,4.05,,1.40,"<",165.00,,135.00,,58.10,,259.00,,14.00,,1.00,"<"
"051256",966.00,7.10,2.00,"<",,,86.30,,27.60,,82.00,,4.15,,1.40,"<",188.00,,154.00,,63.10,,360.00,,17.40,,1.00,"<"
"051257",992.00,,,,,,88.30,,28.60,,85.50,,4.36,,,,,,,,73.10,,467.00,,17.90,,1.00,"<"
"051258",999.00,7.10,2.00,"<",,,88.60,,28.30,,88.00,,4.37,,1.40,"<",189.00,,155.00,,68.10,,168.00,,18.10,,1.00,"<"
"051259",839.00,7.20,2.00,"<",,,73.70,,24.50,,70.50,,4.03,,1.40,"<",163.00,,134.00,,50.10,,270.00,,14.50,,1.00,"<"
"051260",968.00,7.10,2.00,"<",,,86.10,,27.50,,84.00,,4.21,,1.40,"<",192.00,,158.00,,60.10,,378.00,,22.30,,1.00,"<"
"051261",1002.00,7.10,2.00,"<",,,87.40,,28.60,,87.50,,4.32,,1.40,"<",191.00,,157.00,,75.10,,481.00,,22.60,,1.00,"<"
"051264",642.00,7.20,2.00,,,,58.10,,19.50,,47.50,,3.10,,1.40,"<",174.00,,142.00,,31.00,,570.00,,13.50,,1.00,"<"
"051265",597.00,7.10,2.00,,,,54.00,,18.10,,43.50,,2.89,,1.40,"<",155.00,,127.00,,30.00,,623.00,,14.50,,1.00,"<"
"051266",983.00,,,,,,85.40,,28.40,,89.00,,4.19,,,,,,,,71.10,,729.00,,18.00,,1.00,"<"
"051267",422.00,7.10,3.00,,,,46.40,,10.60,,21.70,,2.65,,1.40,"<",144.00,,118.00,,7.80,,885.00,,13.70,,1.00,"<"
"051268",417.00,6.80,10.00,,,,43.50,,10.20,,20.80,,3.63,,1.40,"<",153.00,,126.00,,5.60,,1020.00,,18.00,,1.00,"<"
"051269",924.00,7.10,2.00,"<",,,81.90,,24.60,,80.50,,4.07,,1.40,"<",194.00,,159.00,,51.10,,1120.00,,18.20,,1.00,"<"
"051270",264.00,7.10,24.00,,,,34.30,,4.10,,14.90,,0.58,,1.40,"<",67.00,,55.20,,4.00,,134.00,,13.80,,1.00,"<"
"051271",196.00,7.00,59.00,,,,26.80,,3.00,,11.50,,1.19,,1.40,"<",51.00,,41.60,,1.00,,250.00,,15.10,,1.00,"<"
"051272",319.00,7.00,597.00,,,,37.70,,7.50,,14.70,,1.96,,1.40,"<",105.00,,86.40,,2.80,,401.00,,15.70,,1.00,"<"
"051273",319.00,6.90,864.00,,,,36.20,,7.60,,15.70,,2.47,,1.40,"<",139.00,,114.00,,2.60,,795.00,,18.00,,18.20,
"051274",587.00,7.20,10.00,,,,51.90,,18.10,,41.50,,2.83,,1.40,"<",150.00,,123.00,,41.00,,840.00,,15.70,,1.00,"<"
"051275",492.00,7.40,27.00,,,,47.20,,14.60,,40.30,,2.25,,1.40,"<",112.00,,92.00,,19.00,,1170.00,,18.70,,1.00,"<"
"051276",1002.00,7.20,2.00,"<",,,78.80,,23.20,,91.50,,4.16,,1.40,"<",89.00,,72.80,,69.10,,119.00,,17.70,,1.00,"<"
"051277",496.00,7.20,12.00,,,,45.30,,15.10,,31.50,,2.48,,1.40,"<",164.00,,134.00,,11.40,,310.00,,18.10,,1.00,"<"
"051278",450.00,7.00,15.00,,,,40.50,,16.90,,31.90,,2.42,,1.40,"<",89.00,,72.80,,7.00,,655.00,,24.20,,1.00,"<"
"051279",1024.00,7.20,2.00,"<",,,83.50,,28.70,,92.50,,4.12,,1.40,"<",195.00,,160.00,,72.10,,789.00,,17.00,,1.00,"<"
"051280",410.00,7.10,28.00,,,,39.00,,12.40,,24.20,,2.23,,1.40,"<",142.00,,116.00,,13.60,,921.00,,19.50,,1.92,
"051281",429.00,7.10,45.00,,,,41.40,,13.70,,28.40,,2.11,,1.40,"<",173.00,,142.00,,16.00,,1040.00,,17.30,,1.00,"<"
"051282",972.00,7.10,17.00,,,,77.30,,27.40,,87.00,,3.91,,1.40,"<",189.00,,155.00,,62.10,,110.00,,17.60,,1.00,"<"
"051285",414.00,6.70,167.00,,,,44.80,,17.80,,32.00,,2.07,,1.40,"<",164.00,,134.00,,1.00,,431.00,,20.40,,8.06,
"051286",457.00,7.10,1840.00,,,,40.00,,12.40,,28.80,,1.99,,1.40,"<",130.00,,106.00,,11.80,,570.00,,19.70,,1.00,"<"
"051287",446.00,7.20,1780.00,,,,32.50,,15.10,,31.40,,3.92,,1.40,"<",183.00,,150.00,,8.00,,689.00,,29.40,,16.90,
"051288",466.00,7.00,2000.00,,,,42.70,,15.30,,32.40,,3.08,,1.40,"<",169.00,,138.00,,6.00,,889.00,,22.90,,49500.00,
"051289",741.00,7.50,36.00,,,,63.90,,22.30,,58.50,,3.87,,1.40,"<",74.00,,60.80,,92.10,,103.00,,10.90,,1.00,"<"
"051290",644.00,7.30,8.00,,,,55.30,,19.50,,49.00,,3.06,,1.40,"<",213.00,,174.00,,0.40,"<",71.00,,14.30,,1.00,"<"
"051291",840.00,7.00,6.00,,,,75.60,,23.60,,66.00,,4.14,,1.40,"<",185.00,,152.00,,51.10,,160.00,,17.60,,1.00,"<"
"051292",298.00,7.00,1380.00,,,,29.50,,11.50,,12.50,,2.49,,1.40,"<",104.00,,85.60,,11.80,,247.00,,46.70,,49.70,
"051709",738.00,8.00,31.00,,,,50.60,,20.60,,65.50,,3.88,,1.40,"<",86.90,,71.20,,42.00,,212.00,,11.70,,1.00,"<"
"051710",731.00,8.20,25.00,,,,47.30,,24.60,,74.00,,4.08,,1.40,"<",86.90,,71.20,,49.10,,232.00,,10.60,,1.00,"<"
"051711",530.00,8.20,20.00,,,,45.80,,16.90,,47.50,,3.17,,1.40,"<",95.60,,78.40,,31.00,,157.00,,14.20,,1.00,"<"
"051712",748.00,8.20,26.00,,,,55.20,,22.10,,69.50,,3.83,,1.40,"<",81.00,,66.40,,49.10,,225.00,,11.60,,1.00,"<"
"051713",799.00,8.10,20.00,,,,70.20,,25.60,,80.50,,4.13,,1.40,"<",94.70,,77.60,,67.10,,267.00,,15.00,,1.00,"<"
"051714",941.00,7.80,20.00,,,,65.90,,25.70,,87.00,,4.34,,1.40,"<",106.00,,87.20,,63.10,,257.00,,17.30,,1.00,"<"
"051715",750.00,8.00,19.00,,,,51.80,,23.40,,71.00,,3.82,,1.40,"<",95.60,,78.40,,47.10,,222.00,,15.00,,1.00,"<"
"052021",834.00,7.80,2.00,"<",,,64.00,,24.00,,71.50,,4.06,,1.40,"<",150.00,,123.00,,55.10,,235.00,,10.80,,1.00,"<"
"052022",564.00,7.30,2.00,"<",,,47.80,,17.20,,40.00,,2.79,,1.40,"<",145.00,,119.00,,17.00,,142.00,,15.00,,1.00,"<"
"052023",824.00,7.50,2.00,"<",,,68.20,,23.10,,67.50,,3.74,,1.40,"<",167.00,,137.00,,47.10,,212.00,,13.20,,2.14,
"052024",1002.00,7.40,3.00,,,,83.50,,27.50,,88.50,,4.27,,1.40,"<",178.00,,146.00,,71.10,,280.00,,16.90,,1.00,"<"
"052025",784.00,7.40,2.00,"<",,,66.10,,22.30,,63.00,,3.59,,1.40,"<",162.00,,133.00,,40.00,,210.00,,11.30,,1.00,"<"
"052026",776.00,7.40,2.00,"<",,,64.90,,22.00,,62.50,,3.56,,1.40,"<",159.00,,130.00,,42.00,,202.00,,10.20,,1.00,"<"
"052538",740.00,7.70,2.00,"<",,,69.20,,22.60,,58.00,,3.30,,1.40,"<",163.00,,134.00,,49.10,,200.00,,3.70,,1.00,"<"
"052539",778.00,7.90,3.00,,,,68.00,,24.50,,65.00,,3.69,,1.40,"<",146.00,,120.00,,59.10,,217.00,,3.10,,1.00,"<"
"052540",593.00,7.90,2.00,"<",,,56.80,,18.50,,42.00,,2.88,,1.40,"<",154.00,,126.00,,28.00,,145.00,,4.60,,1.00,"<"
"052541",785.00,8.00,2.00,"<",,,76.90,,23.50,,67.50,,3.52,,1.40,"<",165.00,,135.00,,54.10,,237.00,,4.20,,1.00,"<"
"052542",950.00,8.00,2.00,"<",,,88.50,,27.40,,80.50,,3.92,,1.40,"<",183.00,,150.00,,68.10,,262.00,,5.30,,1.00,"<"
"052543",874.00,7.70,2.00,"<",,,80.50,,25.80,,74.00,,3.79,,1.40,"<",174.00,,142.00,,61.10,,227.00,,3.30,,1.00,"<"
"052544",668.00,8.10,2.00,"<",,,58.70,,21.30,,53.50,,3.29,,1.40,"<",136.00,,111.00,,43.00,,187.00,,3.00,"<",1.00,"<"
"052545",478.00,7.90,2.00,"<",,,48.70,,7.87,,30.70,,3.20,,1.40,"<",141.00,,115.00,,20.20,,89.40,,3.50,,1.00,"<"
"052546",874.00,8.00,2.00,"<",,,80.60,,20.80,,73.00,,3.76,,1.40,"<",174.00,,142.00,,53.10,,227.00,,4.60,,1.00,"<"
"052547",1000.00,8.00,2.00,"<",,,93.10,,28.70,,86.50,,4.02,,1.40,"<",183.00,,150.00,,74.10,,300.00,,4.90,,1.00,"<"
"052548",,,,,,,43.80,,13.60,,28.50,,2.27,,,,,,,,22.00,,26.00,,13.00,,1.00,"<"
"052549",458.00,8.00,2.00,"<",,,45.80,,13.20,,28.60,,2.09,,1.40,"<",138.00,,113.00,,18.80,,90.40,,4.70,,1.00,"<"
"052550",971.00,7.80,2.00,"<",,,93.40,,28.70,,84.00,,3.95,,1.40,"<",183.00,,150.00,,71.10,,272.00,,4.70,,1.00,"<"
"052551",995.00,7.80,2.00,"<",,,91.10,,29.30,,87.00,,4.23,,1.40,"<",190.00,,156.00,,72.10,,302.00,,5.50,,1.00,"<"
"052554",461.00,7.60,1130.00,,,,50.80,,10.30,,27.60,,3.41,,1.40,"<",142.00,,117.00,,9.00,,104.00,,3.50,,3.04,
"052555",472.00,7.60,1420.00,,,,54.20,,11.00,,27.90,,3.38,,1.40,"<",143.00,,118.00,,9.80,,96.80,,3.00,"<",1.00,"<"
"052556",508.00,8.00,2.00,"<",,,61.10,,17.30,,40.00,,4.00,,1.40,"<",164.00,,134.00,,12.00,,165.00,,3.50,,1.00,"<"
"052557",471.00,8.00,7.00,,,,50.80,,8.52,,29.70,,1.66,,1.40,"<",89.80,,73.60,,9.00,,124.00,,4.70,,1.00,"<"
"052558",416.00,8.00,2.00,"<",,,45.00,,10.10,,25.20,,2.59,,1.40,"<",110.00,,90.40,,8.40,,100.00,,3.50,,1.00,"<"
"052559",,,,,,,43.20,,8.70,,16.50,,2.25,,,,,,,,2.00,,125.00,,13.70,,1.00,"<"
"052560",906.00,8.00,10.00,,,,92.00,,25.30,,77.50,,3.75,,1.40,"<",183.00,,150.00,,52.10,,275.00,,5.30,,1.00,"<"
"052561",1362.00,7.60,3560.00,,,,153.00,,32.40,,109.00,,6.46,,1.40,"<",184.00,,151.00,,84.10,,499.00,,4.50,,1.00,"<"
"052562",1393.00,7.80,16200.00,,,,166.00,,33.70,,111.00,,6.84,,1.40,"<",212.00,,174.00,,86.10,,489.00,,5.80,,1.00,"<"
"052563",920.00,8.20,16.00,,,,85.30,,27.90,,76.00,,4.11,,1.40,"<",172.00,,141.00,,67.10,,247.00,,4.50,,1.00,"<"
"052564",1122.00,8.00,87.00,,,,116.00,,30.30,,92.00,,5.15,,1.40,"<",176.00,,144.00,,76.10,,357.00,,4.40,,1.00,"<"
"052565",785.00,8.10,3.00,,,,76.30,,23.90,,61.00,,3.46,,1.40,"<",164.00,,134.00,,53.10,,200.00,,4.20,,1.00,"<"
